alpha_deg,delta_alpha_deg,beta_deg
-69.795,0.023028439051053666,0.026347569406414438
-69.692,0.014219802152822125,0.024314350594170624
-69.589,0.0069195404741049585,0.022466662744360395
-69.487,0.0010874792987716608,0.020824108255186626
-69.384,-0.003480765090541159,0.019358879734440768
-69.282,-0.0067853549564771,0.018103770920160103
-69.179,-0.008981115755431444,0.01703857139415351
-69.076,-0.010120551331871869,0.016180993575722176
-68.974,-0.010297088300220355,0.015540706475570015
-68.871,-0.009604217746331987,0.015109555003233459
-68.768,-0.008126428205944673,0.014899288297933857
-68.666,-0.005978616519391154,0.014913098270194807
-68.563,-0.00320869830870521,0.015155655262345379
-68.461,4.067556929616273e-05,0.015626592128677605
-68.358,0.0037431887512348536,0.016339542483953248
-68.255,0.007778570922674061,0.01729546835140799
-68.153,0.012013656194221067,0.01848591871482886
-68.05,0.016441455876883136,0.019938635296764193
-67.947,0.020930718313029527,0.021647590450339815
-67.845,0.025347810735437966,0.02359682966913443
-67.742,0.029689313222777264,0.025828972888546034
-67.639,0.03382087222758701,0.02833061773905999
-67.537,0.03761626755817036,0.03107792117151258
-67.434,0.04105988915414299,0.03412915143921803
-67.332,0.04399600453955475,0.037429404051311316
-67.229,0.04639215502764396,0.0410477894018827
-67.126,0.04812631203620404,0.04495776712869815
-67.024,0.04910209306843545,0.049121500379125396
-66.921,0.04924860150908271,0.05362503054016262
-66.818,0.04846171023418559,0.058433416136906106
-66.716,0.04667652185550421,0.06349871041809342
-66.613,0.04385411217404667,0.06889110646872164
-66.51,0.0400930118378996,0.0744980108707471
-66.408,0.03553246511526873,0.08019682710368653
-66.305,0.030173025796474,0.08603361219187701
-66.203,0.024207574088869373,0.09183019493618888
-66.1,0.017609116626205883,0.09763454935137907
-65.997,0.010523750871739828,0.10332360200715111
-65.895,0.003116437452823839,0.10877874634314412
-65.792,-0.004668088795050647,0.11404126150336297
-65.689,-0.012668277783523332,0.11899046025673658
-65.587,-0.02071422450044918,0.1235177934665651
-65.484,-0.028873716331870847,0.1276463479018333
-65.382,-0.03689950311872901,0.13123112189065006
-65.279,-0.04485897695431981,0.13427672064864662
-65.176,-0.052582331167620566,0.1366791928889823
-65.074,-0.059908906525143364,0.13835950249106918
-64.971,-0.06689238509215381,0.13928491223158126
-64.868,-0.07336849848566984,0.13936918080700436
-64.766,-0.07919263400055507,0.1385586533045159
-64.663,-0.08438901409732118,0.13677175255756305
-64.56,-0.08880678346938475,0.13394569599809272
-64.458,-0.09232525072833384,0.1300579586731837
-64.355,-0.09492342915318827,0.12496662596878563
-64.253,-0.0964620552529809,0.1187057231477589
-64.15,-0.09688132189184646,0.11108680293926695
-64.047,-0.096070195443124,0.10209891680744157
-63.945,-0.09396530855963231,0.0917841509034285
-63.842,-0.09043541267446131,0.07987457044495742
-63.739,-0.0854038781504959,0.06639800941572543
-63.637,-0.07887850125473872,0.05146816945473115
-63.534,-0.07079559547166016,0.03487446034492089
-63.431,-0.06131482033995475,0.016875204770713276
-63.329,-0.0506499959478742,-0.0022168168713280756
-63.226,-0.03869448530448216,-0.02265717727402683
-63.124,-0.02578158704800057,-0.043931730680438374
-63.021,-0.011760584307798916,-0.06633884452386432
-62.918,0.0031437366138985234,-0.08955509191132946
-62.816,0.018672369057378735,-0.11322569955655068
-62.713,0.03502731879890003,-0.13769601634849304
-62.61,0.0519566554168949,-0.16261738641260245
-62.508,0.06918619634480266,-0.1876236797584932
-62.405,0.08695129850563549,-0.2130864351908298
-62.303,0.10480585565889164,-0.23839398471908366
-62.2,0.12299747994768415,-0.26392377413188184
-62.097,0.1412489399458205,-0.2893082038964906
-61.995,0.1592806861503259,-0.3141853058135115
-61.892,0.17734380499943603,-0.3389240855223317
-61.789,0.19515782825286776,-0.36315942531109063
-61.687,0.21245193780605137,-0.38654571107873836
-61.584,0.22946275663347132,-0.40942271677545905
-61.481,0.24591554856019046,-0.431438202280246
-61.379,0.26155719575948116,-0.4522733033603802
-61.276,0.27659191998320265,-0.4722177707368789
-61.174,0.29062663203817896,-0.490767087643603
-61.071,0.303834045144028,-0.5081661855040522
-60.968,0.3159688801820432,-0.5241073502522074
-60.866,0.3268274104499482,-0.5383393491595153
-60.763,0.3365200710931048,-0.5510224603553704
-60.66,0.3448325647269184,-0.5618916840228388
-60.558,0.3516524990621918,-0.5708289988061093
-60.455,0.3571238356028393,-0.5780693676697433
-60.352,0.36118716430862774,-0.5835829222364065
-60.25,0.36383762233699884,-0.5874066921093527
-60.147,0.36514146650379786,-0.5896817881179546
-60.045,0.36508748185174345,-0.5904293138641427
-59.942,0.3636888969088294,-0.5897300616649997
-59.839,0.3609540412358163,-0.5876360671926911
-59.737,0.35694301244606863,-0.5842533994000175
-59.634,0.35159144996684066,-0.5795818664170254
-59.531,0.3449466869880519,-0.5737149638379274
-59.429,0.3371061561816955,-0.5667924967021243
-59.326,0.3279304087001902,-0.5587448653094045
-59.224,0.3176117168027264,-0.5497936145704625
-59.121,0.30596204024778156,-0.5398293647144381
-59.018,0.29309090029803503,-0.5290018172861121
-58.916,0.27915513855317137,-0.5174941185755029
-58.813,0.26389579183348394,-0.5051467623809338
-58.71,0.2474580519495327,-0.49213548129112283
-58.608,0.23003276247835383,-0.4786617288045787
-58.505,0.21129253812796017,-0.46452744864558654
-58.402,0.19141699084384073,-0.4499286162684124
-58.3,0.17062971576743108,-0.43507920420166507
-58.197,0.1485374063203676,-0.4197541824523712
-58.095,0.12558314179029445,-0.4043164044818359
-57.992,0.10133112560956048,-0.388529303710737
-57.889,0.07601552359986363,-0.37260972274526294
-57.787,0.04991170563376879,-0.35677963656598716
-57.684,0.022522119193899404,-0.3407947862757694
-57.581,-0.005872798318470512,-0.3248743042422326
-57.479,-0.03486682808990399,-0.3092203941298686
-57.376,-0.06487954148897865,-0.293569867370687
-57.274,-0.09518111007207311,-0.2782697959224732
-57.171,-0.12621669948453845,-0.2630639219592029
-57.068,-0.15754165746813803,-0.24814739435022484
-56.966,-0.18870012142598505,-0.2337041524869336
-56.863,-0.22015405887352385,-0.21949473912340142
-56.76,-0.25144823638198444,-0.20570654298880564
-56.658,-0.28213360973316953,-0.19251063456544887
-56.555,-0.3126628701561179,-0.17969201412583355
-56.452,-0.34258324212977587,-0.16742648178979885
-56.35,-0.37146553889288414,-0.15586841066138848
-56.247,-0.39972709723157823,-0.14483491546986882
-56.145,-0.4266720917131162,-0.13458341707462473
-56.042,-0.4526798728043869,-0.12495664927812199
-55.939,-0.4773307039991628,-0.11610261165887664
-55.837,-0.5002574179690343,-0.10813936769371267
-55.734,-0.5217605753669353,-0.10095451891901887
-55.631,-0.5414576543581294,-0.09467427119622675
-55.529,-0.5590361018349197,-0.08938978551615462
-55.426,-0.5746916104797872,-0.08504118808744854
-55.323,-0.5880919122077356,-0.08172906258528836
-55.221,-0.5989921072100307,-0.07951383904532008
-55.118,-0.6074569420422002,-0.07839582528678066
-55.016,-0.6131749936696915,-0.07843990854899592
-54.913,-0.6161093979936235,-0.07969069678457902
-54.81,-0.6160405339534327,-0.08219759902038458
-54.708,-0.6128651291828374,-0.08596136155783764
-54.605,-0.6063743576309798,-0.09109857024730726
-54.502,-0.5965726614371989,-0.09756780806231179
-54.4,-0.5837956099551935,-0.10519581824185519
-54.297,-0.568004082111019,-0.11403336924148696
-54.195,-0.5497133866126702,-0.12381133465063718
-54.092,-0.528776291719212,-0.1346226389097513
-53.989,-0.5055725240561447,-0.14627671034414985
-53.887,-0.4805696227202958,-0.15855032789570134
-53.784,-0.4534887440915628,-0.1715853503605847
-53.681,-0.42477851453035503,-0.1851652930271587
-53.579,-0.3949506825794985,-0.1990525605981569
-53.476,-0.3636317981362432,-0.2134206520662182
-53.373,-0.33132088459764797,-0.22803581676237628
-53.271,-0.29855539725427677,-0.24265473222986664
-53.168,-0.2649042849172516,-0.2574652434985146
-53.066,-0.2312296443429745,-0.2720822443467001
-52.963,-0.1970825978086284,-0.2866935422626934
-52.86,-0.1630050354985859,-0.3010558241293366
-52.758,-0.12953615573029695,-0.3149354238835088
-52.655,-0.09623111530655137,-0.32850569016849984
-52.552,-0.0636328809442444,-0.34152909343054705
-52.45,-0.03225703720443622,-0.35378928996775155
-52.347,-0.0016997808120439162,-0.36542787541914906
-52.244,0.027513347681774904,-0.3762217508740085
-52.142,0.0549088801706098,-0.38598054207129096
-52.039,0.08081257461089605,-0.3947967974865033
-51.937,0.10451276954519977,-0.40240180421556937
-51.834,0.12626276533084269,-0.4088458796659898
-51.731,0.14560711989827058,-0.41394915584242586
-51.629,0.16218358738309757,-0.417583708241064
-51.526,0.17613707746566618,-0.41973735720182964
-51.423,0.18733537159948205,-0.4203935750585449
-51.321,0.19584917761483506,-0.41964104781704165
-51.218,0.20198665000974556,-0.4175392630675708
-51.116,0.20576800660234412,-0.41420231567626103
-51.013,0.20740860876471476,-0.40963901832846494
-50.91,0.2070026668184325,-0.4039508687734364
-50.808,0.20472367561977478,-0.3972829423131839
-50.705,0.20066816619197808,-0.3895787383179825
-50.602,0.19499183062311704,-0.38097349767793726
-50.5,0.18791315292736527,-0.371637368066171
-50.397,0.1794345526280154,-0.3614615311441048
-50.294,0.16976084415518994,-0.35060847313958354
-50.192,0.1591431412565057,-0.3392669162937321
-50.089,0.1475144708042172,-0.3272887201653424
-49.987,0.13524002426397347,-0.3149797545987755
-49.884,0.12222034333858654,-0.30217291035437815
-49.781,0.10871462345197368,-0.2890616287402054
-49.679,0.09500088951368371,-0.27585114517864745
-49.576,0.08095146190499813,-0.26235667360661935
-49.473,0.06684171330267524,-0.24878158022720454
-49.371,0.05294935326050065,-0.23533235458808413
-49.268,0.03914319968713076,-0.2218195294089661
-49.166,0.025830725273865957,-0.20857877315655526
-49.063,0.012892118235814654,-0.19542470618559593
-48.96,0.0006022594163747896,-0.18256280111992884
-48.858,-0.01078910329588828,-0.17018721202904968
-48.755,-0.021364112828983955,-0.1581295233296934
-48.652,-0.030864656175879385,-0.14658781209801808
-48.55,-0.039074958599546294,-0.13573981504982036
-48.447,-0.046083827773623076,-0.12541306519633594
-48.344,-0.051855377815359524,-0.1156966369140815
-48.242,-0.05641424928969166,-0.10664975831438994
-48.139,-0.05991316081312788,-0.09806853556997167
-48.037,-0.06234668287405877,-0.09009343285189426
-47.934,-0.063825860571083,-0.08254157154623314
-47.831,-0.0643857020272512,-0.07546695158928862
-47.729,-0.06409683108764191,-0.06890508425732365
-47.626,-0.06301691259594146,-0.06270080143418039
-47.523,-0.06120857156821438,-0.05689385994311721
-47.421,-0.05876265261354069,-0.051508623329279926
-47.318,-0.05569452551648825,-0.046412994667062085
-47.215,-0.05208888958823851,-0.041634807320287875
-47.113,-0.04805126760397639,-0.03718959675659357
-47.01,-0.04356581948494465,-0.03296369793370874
-46.908,-0.03878215182909589,-0.029013005626167952
-46.805,-0.033669796211170194,-0.025233551228094998
-46.702,-0.028337914653531894,-0.021638457922950775
-46.6,-0.02290417376533213,-0.01823370661790301
-46.497,-0.017325358587343374,-0.014926033432614665
-46.394,-0.011717931174471154,-0.011722821323618609
-46.292,-0.006199462039396256,-0.008627406353079172
-46.189,-0.0007250748847171034,-0.005552590058983
-46.087,0.004536420991892102,-0.0025319160988010094
-45.984,0.009624863196490488,0.0005203484794731334
-45.881,0.014423934744487367,0.0036012322039695385
-45.779,0.01882852907073434,0.006706654877293078
-45.676,0.022861681790106923,0.009924011190923445
-45.573,0.026414550148048797,0.013249886667412513
-45.471,0.029403042352607735,0.016674743350695916
-45.368,0.031883535613694856,0.020273150540537296
-45.265,0.03385049049079169,0.024010727715254004
-45.163,0.035318495702730136,0.027847629925750628
-45.06,0.03634282368744609,0.03185753787039692
-44.958,0.03692973027279277,0.03596105664746677
-44.855,0.03711721145304738,0.0402370947311451
-44.752,0.03692415398912301,0.044644506603719006
-44.65,0.03638418697228964,0.049137057236001716
-44.547,0.03551321083599751,0.05380128317777051
-44.444,0.03434154775116373,0.05859220215139472
-44.342,0.0329111687091265,0.06345992370353608
-44.239,0.031220515084018546,0.06849834067651804
-44.136,0.029309026206006252,0.07365876992431526
-44.034,0.02722469671574146,0.078887801460961
-43.931,0.02495314542954856,0.08428641263827885
-43.829,0.02256462583102649,0.08974824344322777
-43.726,0.020038792224572558,0.09537883591916772
-43.623,0.017425123105025617,0.1011236444739441
-43.521,0.014776499775772143,0.106923698705486
-43.418,0.012067476468057805,0.11289117248904734
-43.315,0.009350469342887767,0.11896818159440499
-43.213,0.006678203859879127,0.12509259831718558
-43.11,0.004024770678635308,0.13138295658149107
-43.008,0.0014678384651836268,0.13771558089686267
-42.905,-0.0010162406842145096,0.14421308768921784
-42.802,-0.0033753039112568925,0.15081233360739005
-42.7,-0.005562031560967622,0.15744623385608902
-42.597,-0.007592812624070706,0.16424331223247376
-42.494,-0.009418789720342827,0.17113742518852246
-42.392,-0.011009710417632702,0.17805468190037269
-42.289,-0.012404221560168837,0.18511647724246086
-42.186,-0.013596168832211274,0.19223994525613064
-42.084,-0.014587245382509969,0.19933983074075948
-41.981,-0.015407310350358229,0.2065399980389394
-41.879,-0.016050731661167376,0.21368548734990944
-41.776,-0.016540551684828785,0.22090105720893324
-41.673,-0.016880159449309557,0.22810122995770038
-41.571,-0.01707876330942399,0.23520112443260302
-41.468,-0.0171506837242656,0.24232460515251134
-41.365,-0.01710382325669927,0.24938641684636123
-41.263,-0.016950686123154722,0.256303693343823
-41.16,-0.016698695900496895,0.26319671841911185
-41.057,-0.01635935617220386,0.26998180255253945
-40.955,-0.01594755450203606,0.27657943793118694
-40.852,-0.015465642613199163,0.2831036408563512
-40.75,-0.014933269535117843,0.28941257704907736
-40.647,-0.014350422845744473,0.29561460204231216
-40.544,-0.0137325782620489,0.30163161631184743
-40.442,-0.013096567343640836,0.30739268777691325
-40.339,-0.012440345553956449,0.3129954295248163
-40.236,-0.01178055724672258,0.31836688863321777
-40.134,-0.01113398494502349,0.32344307222924995
-40.031,-0.010498377026348463,0.32830816422631653
-39.929,-0.0098963669090511,0.3328525460916389
-39.826,-0.009326576738942285,0.33714997425370496
-39.723,-0.008805571662597003,0.34113904999443057
-39.621,-0.008348026858305116,0.34477032038187344
-39.518,-0.007955397125073699,0.3480996376978956
-39.415,-0.007642077183069012,0.3510742096586337
-39.313,-0.007409674199973532,0.3536536903556682
-39.21,-0.007247265972179639,0.3558710675079858
-39.107,-0.007150997021139787,0.357681474195008
-39.005,-0.007114449586965494,0.35905580981355145
-38.902,-0.007130452049683997,0.36000341981148887
-38.8,-0.007192322102515621,0.36048852917703667
-38.697,-0.007294817880134774,0.36050304754918566
-38.594,-0.007431041537350518,0.36002221201379114
-38.492,-0.0075927885875811734,0.3590404500098047
-38.389,-0.007776775537999157,0.35752090899250116
-38.286,-0.007975030893696985,0.35545294954482265
-38.184,-0.008179030391874769,0.3528471783591361
