alpha_center_deg,z0x,z0y,z0z,x0x,x0y,x0z,y0x,y0y,y0z,n_rows,cond
-69.39601046292596,-0.034651890334386995,-0.39632211131659006,-0.917457372621646,-0.0018858086411587922,-0.9179811254057786,0.39661958741911524,0.9993976637065061,-0.01547376748890174,-0.031062393624395074,100,0.29752058057511527
-69.34827497272988,-0.012520575826092098,-0.3967250014980297,-0.9178521168289429,-0.0020982542905204887,-0.9179116236349995,0.39677934488162525,0.9999194130078262,-0.0068937930160171785,-0.010660352148823335,100,0.27081722193622365
-69.29593604759842,-0.052388303009765234,-0.3972630002568178,-0.9162082592591646,-0.00488688957574654,-0.9173551645880968,0.39803972203012633,0.9986148326647424,-0.02533003415902348,-0.04611729991522944,100,0.30102119900262414
-69.24103195095978,0.02684608479499716,-0.40166028903389944,-0.9153951605423661,-0.004989473637116232,-0.9157676408330572,0.4016773993590892,0.9996271269248371,0.006216125502358131,0.026588849161529888,100,0.2197907138813012
-69.18407525348292,-0.035371345095414605,-0.41532503247738606,-0.9089851403316774,0.00047324594787880557,-0.9095611636831377,0.41556980828453993,0.9993741261331583,-0.014269089565723736,-0.03236895269469571,100,0.2321492377370513
-69.12455324909695,-0.038663694625321085,-0.4147667633902153,-0.9091059623084237,-0.0008739555519505678,-0.9097718437704309,0.4151077311785992,0.9992518976312295,-0.016844116757970044,-0.034812653030625806,100,0.24281802765301333
-69.06246057012972,-0.0807294672057805,-0.41085038382923517,-0.908121531091539,0.002508932692404913,-0.9111761758420164,0.4120093225094111,0.996732892194,-0.030982877291966977,-0.07458956316600282,100,0.2584247574655294
-69.00190881992845,-0.07053921345646637,-0.4124034881542317,-0.9082662507894728,0.0007660031852645827,-0.910556511893559,0.41338390375939305,0.9975087130466898,-0.02846404058557812,-0.06454584254217559,100,0.25663811203081044
-68.9326335122476,0.056556434455475285,-0.4094970024834292,-0.9105567388574806,-0.0043491434733259685,-0.9121089038124789,0.40992491085203225,0.9983899311755562,0.01922374945437452,0.053366588650423215,100,0.20247545154670454
-68.85925078220055,-0.10774923148866572,-0.40419556560885983,-0.9083039402401246,-0.004577122852836658,-0.9134115918132387,0.40701144196151995,0.9941675678978831,-0.04801258880064209,-0.09656934429035172,100,0.21494051524132476
-68.78278940393258,-0.0641508559474928,-0.4063402990179866,-0.9114670751459855,-0.010880242148768857,-0.9130093046702836,0.4077936119120426,0.9978808987108574,-0.036077291742295646,-0.05414924753450508,100,0.23830079933754328
-68.70427729029623,0.08185607090937898,-0.4038097516584322,-0.9111735664080878,-0.01621314568632364,-0.9146601628634904,0.4038984035342147,0.9965122766741175,0.018288546582180227,0.08141751348253433,100,0.26571341512104146
-68.62371271762625,0.09328330994979267,-0.40182839094058087,-0.9109512436562753,-0.01640085554561345,-0.915436767823565,0.4021275121825369,0.9955045133108051,0.022571405601959128,0.09198530114626476,100,0.276462045155017
-68.53853051751994,0.11535381945110058,-0.4018596509632962,-0.9084064713913593,-0.01647093352385415,-0.915159415113013,0.4027554509610773,0.993187899990176,0.03149707697018471,0.112186137536857,100,0.16505277004837032
-68.45078109678663,0.08636390156285907,-0.3999759597915685,-0.9124475371744144,-0.016273830789505086,-0.9163137203063646,0.400130389260481,0.9961307338589024,0.019707804726123594,0.08564556903075393,100,0.17618275659366675
-68.36097663468357,-0.2212178112746228,-0.40687430823925735,-0.886293392319773,-0.002303101842135891,-0.9085891760520387,0.4176845758260439,0.9752217059196181,-0.0944404916119312,-0.20005903590522134,100,0.2635282665846461
-68.26603978944544,-0.2563775356033726,-0.4007944424390654,-0.8795648777366568,-0.0017525579047524553,-0.9097851224675089,0.41507584786105123,0.9665751330231561,-0.10795761134231675,-0.23254605215855503,100,0.2681452447459919
-68.16751063805302,-0.34513723938971497,-0.38676974967773564,-0.8551546332217749,-0.0004064186245653356,-0.9110806225719115,0.4122280121460453,0.9385521406988256,-0.14262278888102062,-0.3142906605062448,100,0.2444857824259301
-68.06846758666843,-0.39278987980202595,-0.3769263441638276,-0.8388340964698573,0.00033974234605652076,-0.9122041857182667,0.40973577843924325,0.9196281829632279,-0.16065507969985302,-0.3584326303036396,100,0.24479209442363914
-67.97506811742547,-0.634454609831808,-0.31544896476997425,-0.7056623120790283,0.0019738791656869208,-0.9135931820614825,0.40662464447179575,0.7729576003017291,-0.2565919880205276,-0.5802560640092148,100,0.2723617273926068
-67.87653694147481,-0.26853401496091656,-0.4065991560162723,-0.8732505992759612,0.0022189891857773703,-0.906806626328522,0.4215410045697543,0.9632676465531081,-0.11126036479150722,-0.24441066329130792,100,0.31453110905609855
-67.77184867853869,-0.5618770515682519,-0.33953479292442773,-0.7543277161252488,0.0015871709207565254,-0.9123228131457745,0.4094686379959382,0.8272192332202125,-0.22887378401107092,-0.5131521520787157,100,0.1873774112058131
-67.66921409244847,-0.6183298025425419,-0.3217981455144263,-0.7170175791646796,0.001808166507245051,-0.912910507439568,0.4081557741111994,0.7859166532283072,-0.25107839204102467,-0.5650616384329324,100,0.1891279071395802
-67.56863207647228,-0.8131979650076199,-0.23229982103645572,-0.5336158382712195,-0.002856967270304156,-0.9152814657553892,0.4028047618669406,0.581980160697495,-0.32908453563043183,-0.7436413523758755,100,0.201623950271671
-67.46702510258054,-0.7427808158467492,-0.26800319185042226,-0.6135559866613832,-0.003681218329373126,-0.9147430919848625,0.40401921278274,0.6695245389391261,-0.3023563540327195,-0.6784670418925238,100,0.20851689703745774
-67.36798266671133,-0.9966825361558437,0.0286965456139307,0.07616055666671062,0.004166721291040634,-0.9165586985910901,0.39987846962632306,-0.08128075144607382,-0.39886922707428174,-0.913398477739878,100,0.20364669706478766
-67.26894078896714,0.9926746475444918,-0.04511492434670842,-0.11207893523588579,0.003349829476237569,-0.9170317029375293,0.39880024379377615,0.12077177967099449,0.3962543367695626,0.9101629951972422,100,0.20354221977549916
-67.1704107203397,0.9122555090565375,-0.14880096208814314,-0.38163878193606166,0.014007651927462141,-0.9198087735888181,0.39211682661741704,0.4093820610181605,0.3630565984948868,0.8370162689015345,100,0.17119091978565648
-67.06931522654016,0.771579098998523,-0.23569343551300695,-0.5908589497034835,0.012671868797388741,-0.9229496738335237,0.3847120004779864,0.6360071679861866,0.3043230257911296,0.7091420014662242,100,0.17940779506103643
-66.96719326671158,0.9849335215182947,-0.06479316248215801,-0.16033653446776108,0.007282637749617668,-0.9107946720482148,0.41279538339956373,0.1727799796764044,0.4077436835367847,0.8966003385895389,100,0.25507843073540565
-66.86609744874595,0.882969108726909,-0.186086821914781,-0.43097244429738685,0.007761413526968825,-0.9121613619193587,0.4097577458468409,0.4693669284196225,0.365148387003253,0.8039660079722597,100,0.2531712461589898
-66.76448885459352,0.8679240227145758,-0.19735998694497187,-0.4558036050186845,0.007782927268415619,-0.9121528864190155,0.4097762045807362,0.49663600034440014,0.3592020981989656,0.7901433640874153,100,0.23607786366024067
-66.66339589455501,0.16083006096257788,-0.3840418789561818,-0.9092004876255725,0.002065750940456648,-0.9210594692413856,0.3894164695975621,0.9869799512471494,0.06450805630758395,0.1473407157156232,100,0.18150058791228763
-66.56332922434252,0.2273710070325681,-0.37660429463757483,-0.8980376553472189,0.0027745469019702655,-0.9219372273390791,0.3873293827426728,0.9738042549971142,0.0905591194020008,0.20857688952194475,100,0.20267580948152675
-66.46069747158735,0.38281181125154706,-0.3503443827779541,-0.8548180687270504,0.0033951549531654334,-0.9247618994206056,0.3805310792863544,0.9238201069954876,0.14857403149920936,0.3528203042271208,100,0.22205186020890472
-66.35857974926068,0.4316142548777669,-0.33785066656235413,-0.8364006588290586,0.0043605586400072005,-0.926421282118615,0.37646326987642353,0.9020477373812636,0.16613408783592495,0.3983834137414207,100,0.2253601787067304
-66.25594934158624,0.10670634814794651,-0.3561704520632003,-0.9283083347369153,0.00549053016193473,-0.9334135628298804,0.3587603305882215,0.9942754192594074,0.043378909648867585,0.09764558799149743,100,0.24449529064153222
-66.15793644052846,-0.1901851578188133,-0.3811624231994011,-0.9047346643553532,0.004959923478748643,-0.9219159434745815,0.3873582222264776,0.9817357103133807,-0.0691823699227837,-0.1772252656574369,100,0.19161744693718757
-66.06094793447367,0.15322177369717926,-0.40282715704672145,-0.9023598891854328,0.006925155192419048,-0.9126822999088586,0.4086111374627928,0.9881675618490273,0.06885710550649422,0.1370531602357867,100,0.25463081847601515
-65.95882886714763,0.3599584260281992,-0.3926088822984807,-0.8463381103741218,0.004654742840215859,-0.9063785468613594,0.4224408398327298,0.9329567325982449,0.15600062605588577,0.32443110173005735,100,0.1771135827998393
-65.8551700761959,0.11857558296637534,-0.408415384209424,-0.9050617134014965,0.010658888238266565,-0.9109161957375308,0.41245372157926835,0.9928878180467864,0.058553892134793416,0.10365916500801364,100,0.16786069130042397
-65.75202462544891,0.07481449833748686,-0.4092696644067028,-0.909341043082811,0.010733698423238998,-0.9115133259963428,0.4111304467553381,0.9971396986163319,0.04051911064559195,0.06380143506082873,100,0.16830440205479016
-65.64682789849675,0.6545819360714061,-0.3260270351741866,-0.6820768734567529,0.00696781819150552,-0.8995885850388599,0.43668275346918883,0.7559589529059497,0.29059722986173137,0.5865827405558643,100,0.1950411977298805
-65.53957951880699,0.5578187533700955,-0.35794286526175845,-0.74880915031591,0.006865885195581956,-0.9001991197840297,0.435424395688321,0.8299343937981566,0.24802913124925668,0.49969035616331975,100,0.1979962361579358
