h,k,l,I,sigma
12,2,0,9587.01,2651.78
12,6,10,2516.0,1241.61
13,-3,-17,430.94,930.76
13,5,7,3218.32,1505.5
14,-2,-14,360.57,966.59
14,4,4,5551.33,2246.75
14,8,14,1070.83,1137.41
15,-1,-11,1185.41,1076.83
15,1,-5,3121.13,1380.38
15,3,1,37520.51,4128.62
15,7,11,240.22,1259.79
16,0,-8,1981.38,1209.29
16,6,8,1324.44,1519.52
17,-1,-13,1359.97,1036.32
17,5,5,3355.95,2154.66
18,0,-10,543.75,1139.52
18,2,-4,2390.67,1547.77
18,4,2,24553.88,6269.8
19,1,-7,251.98,1288.78
20,2,-6,602.05,1396.26
20,4,0,4672.54,2608.91
21,3,-3,1845.29,1717.2
-21,-3,-3,24483.75,6407.01
-21,-1,3,1738.73,1630.39
-20,-4,-6,2148.96,2255.79
-20,-2,0,3522.37,2329.68
-19,-5,-9,1126.94,1584.18
-19,-3,-3,24981.37,6528.84
-19,1,7,1183.84,1232.33
-18,2,10,362.51,1109.57
-17,1,7,736.17,1228.99
-16,0,4,2627.33,1426.99
-16,2,10,1652.15,1080.28
-16,4,14,381.93,1009.72
-15,-5,-11,2397.87,1287.5
-15,1,7,2331.35,1181.22
-14,-6,-14,948.92,1135.2
-14,-4,-8,1443.88,1448.05
-14,0,4,4294.14,1418.38
-14,4,14,353.42,971.74
-13,-5,-11,1102.99,1228.76
-13,-3,-5,8967.59,1924.29
-13,-1,1,17708.11,1975.4
-13,3,11,907.46,1008.69
-12,-6,-14,1676.36,1071.49
-12,-4,-8,5833.71,1389.72
-12,-2,-2,477399.97,7669.09
-12,0,4,15860.47,1412.93
-12,4,14,-1.69,933.77
-11,-5,-11,1845.34,1144.33
-11,-3,-5,38454.43,1837.61
-11,-1,1,47836.46,2091.91
-11,3,11,404.16,1008.74
-11,5,15,433.68,935.04
-10,-6,-16,754.73,1002.05
-10,-4,-8,6530.15,1320.71
-10,2,8,13557.64,1122.16
-10,6,18,455.4,929.32
-9,5,15,1652.13,938.93
-8,-6,-16,935.04,1005.46
-8,2,8,997.95,1019.43
-7,-7,-19,914.63,971.97
-7,-5,-13,1528.03,1007.1
-7,1,5,16356.89,1216.58
-7,5,15,430.02,896.96
-7,7,19,477.87,893.08
-6,-6,-16,410.51,963.88
-6,-4,-10,12777.49,1114.64
-6,0,2,118378.12,1966.8
-6,4,12,2039.13,945.92
-6,6,16,504.18,936.74
-5,-5,-13,2221.16,980.89
-5,-3,-7,53045.05,1366.98
-5,-1,-1,1193506.5,5710.65
-5,7,19,42.24,893.7
-4,-6,-18,307.93,931.47
-4,-4,-10,3828.61,1030.48
-4,-2,-4,36020.48,1471.03
-4,6,16,1333.67,895.99
-3,-5,-15,1659.88,935.54
-3,3,9,21832.41,1066.0
-2,-6,-18,941.23,931.6
-2,2,6,23566.37,1156.38
-2,6,16,1271.58,900.31
-2,8,20,93.98,893.52
-1,-5,-15,3786.49,946.39
-1,1,3,196385.41,1989.03
-1,5,13,3257.64,953.28
-1,7,17,965.99,896.47
0,-6,-20,134.14,890.51
0,-4,-12,6063.79,970.1
0,-2,-6,90742.88,1505.35
0,4,10,16307.8,1072.15
1,-5,-17,1207.92,892.59
1,-3,-9,10234.14,1004.94
1,7,17,1090.68,937.73
2,-6,-20,293.18,888.73
2,6,14,887.95,939.48
2,8,18,290.28,891.5
3,-5,-17,725.44,893.32
3,3,7,50585.94,1309.33
4,-4,-14,-138.04,893.21
4,-2,-8,1054.62,978.96
4,8,18,491.52,931.64
5,-5,-19,443.84,890.11
5,-3,-11,1918.97,942.47
5,-1,-5,40835.71,1307.12
5,5,11,5319.77,1036.31
5,7,15,611.82,970.21
5,9,19,685.68,930.28
6,-4,-16,-34.37,890.28
6,4,8,2485.67,1097.29
7,-5,-19,332.6,888.67
7,-3,-13,860.42,940.55
7,3,5,28071.75,1505.84
7,7,15,1038.47,972.05
8,-4,-16,1.05,924.26
8,-2,-10,7552.91,1014.53
8,0,-4,53371.09,1524.41
8,2,2,343274.03,3427.02
8,6,12,408.34,1042.43
8,8,16,633.67,1004.98
9,-3,-13,1138.72,975.4
9,-1,-7,7780.13,1123.33
9,1,-1,86209.34,2183.61
9,5,9,5743.67,1202.88
10,-4,-18,686.85,891.04
10,4,6,16926.17,1502.78
10,8,16,249.65,1001.37
11,-3,-15,484.92,928.8
11,-1,-9,3691.1,1063.67
11,3,3,42992.63,2501.72
11,7,13,1511.58,1073.6
12,-2,-12,128.4,1005.56
12,0,-6,2110.83,1209.09
12,2,0,9587.01,2651.78
12,6,10,2516.0,1241.61
12,8,14,181.63,1069.12
13,-3,-17,430.94,930.76
13,-1,-9,1956.04,1116.82
13,5,7,3218.32,1505.5
14,-2,-14,360.57,966.59
14,4,4,5551.33,2246.75
14,8,14,1070.83,1137.41
15,-1,-11,1185.41,1076.83
15,1,-5,3121.13,1380.38
15,3,1,37520.51,4128.62
15,7,11,240.22,1259.79
16,0,-8,1981.38,1209.29
16,6,8,1324.44,1519.52
16,8,12,1588.53,1260.87
17,-1,-13,1359.97,1036.32
17,5,5,3355.95,2154.66
18,0,-10,543.75,1139.52
18,2,-4,2390.67,1547.77
18,4,2,24553.88,6269.8
19,1,-7,251.98,1288.78
20,2,-6,602.05,1396.26
20,4,0,4672.54,2608.91
21,3,-3,1845.29,1717.2
-21,-3,-3,24483.75,6407.01
-20,-4,-6,2148.96,2255.79
-20,-2,0,3522.37,2329.68
-19,-5,-9,1126.94,1584.18
-19,-3,-3,24981.37,6528.84
-19,1,7,1183.84,1232.33
-18,-4,-6,2757.32,2078.48
-18,2,10,362.51,1109.57
-17,1,7,736.17,1228.99
-16,0,4,2627.33,1426.99
-16,4,14,381.93,1009.72
-15,-5,-11,2397.87,1287.5
-15,1,7,2331.35,1181.22
-15,3,11,788.84,1046.74
-14,-6,-14,948.92,1135.2
-14,-4,-8,1443.88,1448.05
-14,0,4,4294.14,1418.38
-14,4,14,353.42,971.74
-13,-5,-11,1102.99,1228.76
-13,-3,-5,8967.59,1924.29
-13,-1,1,17708.11,1975.4
-13,3,11,907.46,1008.69
-12,-6,-14,1676.36,1071.49
-12,-4,-8,5833.71,1389.72
-12,-2,-2,477399.97,7669.09
-12,0,4,15860.47,1412.93
-11,-5,-11,1845.34,1144.33
-11,-3,-5,38454.43,1837.61
-11,-1,1,47836.46,2091.91
-11,3,11,404.16,1008.74
-11,5,15,433.68,935.04
-10,-6,-16,754.73,1002.05
-10,-4,-8,6530.15,1320.71
-10,2,8,13557.64,1122.16
-10,6,18,455.4,929.32
-9,5,15,1652.13,938.93
-8,-6,-16,935.04,1005.46
-8,2,8,997.95,1019.43
-7,-7,-19,914.63,971.97
-7,-5,-13,1528.03,1007.1
-7,1,5,16356.89,1216.58
-7,5,15,430.02,896.96
-7,7,19,477.87,893.08
-6,-6,-16,410.51,963.88
-6,-4,-10,12777.49,1114.64
-6,0,2,118378.12,1966.8
-6,4,12,2039.13,945.92
-6,6,16,504.18,936.74
-5,-5,-13,2221.16,980.89
-5,-3,-7,53045.05,1366.98
-5,-1,-1,1193506.5,5710.65
-5,3,9,15056.52,1059.29
-5,7,19,42.24,893.7
-4,-6,-18,307.93,931.47
-4,-4,-10,3828.61,1030.48
-4,-2,-4,36020.48,1471.03
-4,6,16,1333.67,895.99
-3,-5,-15,1659.88,935.54
-3,3,9,21832.41,1066.0
-3,5,13,1544.24,946.85
-2,-6,-18,941.23,931.6
-2,2,6,23566.37,1156.38
-2,8,20,93.98,893.52
-1,-5,-15,3786.49,946.39
-1,1,3,196385.41,1989.03
-1,5,13,3257.64,953.28
-1,7,17,965.99,896.47
0,-6,-20,134.14,890.51
0,-4,-12,6063.79,970.1
0,-2,-6,90742.88,1505.35
0,4,10,16307.8,1072.15
1,-5,-17,1207.92,892.59
1,-3,-9,10234.14,1004.94
1,7,17,1090.68,937.73
2,-6,-20,293.18,888.73
2,6,14,887.95,939.48
2,8,18,290.28,891.5
3,-5,-17,725.44,893.32
4,-4,-14,-138.04,893.21
4,-2,-8,1054.62,978.96
4,8,18,491.52,931.64
5,-5,-19,443.84,890.11
5,-3,-11,1918.97,942.47
5,-1,-5,40835.71,1307.12
5,5,11,5319.77,1036.31
5,7,15,611.82,970.21
5,9,19,685.68,930.28
6,-4,-16,-34.37,890.28
6,4,8,2485.67,1097.29
7,-5,-19,332.6,888.67
7,-3,-13,860.42,940.55
7,3,5,28071.75,1505.84
7,7,15,1038.47,972.05
8,-4,-16,1.05,924.26
8,-2,-10,7552.91,1014.53
8,0,-4,53371.09,1524.41
8,2,2,343274.03,3427.02
8,6,12,408.34,1042.43
8,8,16,633.67,1004.98
9,-3,-13,1138.72,975.4
9,-1,-7,7780.13,1123.33
9,1,-1,86209.34,2183.61
9,5,9,5743.67,1202.88
10,-4,-18,686.85,891.04
10,4,6,16926.17,1502.78
10,8,16,249.65,1001.37
11,-3,-15,484.92,928.8
11,3,3,42992.63,2501.72
11,7,13,1511.58,1073.6
12,-2,-12,128.4,1005.56
12,0,-6,2110.83,1209.09
12,2,0,9587.01,2651.78
12,6,10,2516.0,1241.61
12,8,14,181.63,1069.12
13,-3,-17,430.94,930.76
13,-1,-9,1956.04,1116.82
13,5,7,3218.32,1505.5
14,-2,-14,360.57,966.59
14,4,4,5551.33,2246.75
14,8,14,1070.83,1137.41
15,-1,-11,1185.41,1076.83
15,1,-5,3121.13,1380.38
15,3,1,37520.51,4128.62
15,7,11,240.22,1259.79
16,0,-8,1981.38,1209.29
16,2,-2,11355.74,1837.78
16,6,8,1324.44,1519.52
16,8,12,1588.53,1260.87
17,-1,-13,1359.97,1036.32
17,5,5,3355.95,2154.66
18,0,-10,543.75,1139.52
18,2,-4,2390.67,1547.77
18,4,2,24553.88,6269.8
19,1,-7,251.98,1288.78
20,4,0,4672.54,2608.91
21,3,-3,1845.29,1717.2
-21,-3,-3,24483.75,6407.01
-20,-4,-6,2148.96,2255.79
-20,-2,0,3522.37,2329.68
-19,-5,-9,1126.94,1584.18
-19,-3,-3,24981.37,6528.84
-19,1,7,1183.84,1232.33
-18,-4,-6,2757.32,2078.48
-18,2,10,362.51,1109.57
-17,1,7,736.17,1228.99
-16,0,4,2627.33,1426.99
-16,4,14,381.93,1009.72
-15,-5,-11,2397.87,1287.5
-15,1,7,2331.35,1181.22
-15,3,11,788.84,1046.74
-14,-6,-14,948.92,1135.2
-14,0,4,4294.14,1418.38
-14,4,14,353.42,971.74
-13,-5,-11,1102.99,1228.76
-13,-3,-5,8967.59,1924.29
-13,-1,1,17708.11,1975.4
-13,3,11,907.46,1008.69
-12,-6,-14,1676.36,1071.49
-12,-4,-8,5833.71,1389.72
-12,-2,-2,477399.97,7669.09
-11,-5,-11,1845.34,1144.33
-11,-3,-5,38454.43,1837.61
-11,-1,1,47836.46,2091.91
-11,3,11,404.16,1008.74
-11,5,15,433.68,935.04
-10,-4,-8,6530.15,1320.71
-10,2,8,13557.64,1122.16
-10,6,18,455.4,929.32
-9,5,15,1652.13,938.93
-8,-6,-16,935.04,1005.46
-8,2,8,997.95,1019.43
-8,4,12,4434.77,962.11
-7,-7,-19,914.63,971.97
-7,-5,-13,1528.03,1007.1
-7,1,5,16356.89,1216.58
-7,5,15,430.02,896.96
-7,7,19,477.87,893.08
-6,-6,-16,410.51,963.88
-6,-4,-10,12777.49,1114.64
-6,0,2,118378.12,1966.8
-6,4,12,2039.13,945.92
-6,6,16,504.18,936.74
-5,-5,-13,2221.16,980.89
-5,-3,-7,53045.05,1366.98
-5,-1,-1,1193506.5,5710.65
-5,3,9,15056.52,1059.29
-4,-6,-18,307.93,931.47
-4,-4,-10,3828.61,1030.48
-4,-2,-4,36020.48,1471.03
-4,6,16,1333.67,895.99
-3,3,9,21832.41,1066.0
-3,5,13,1544.24,946.85
-2,-6,-18,941.23,931.6
-2,2,6,23566.37,1156.38
-2,8,20,93.98,893.52
-1,-5,-15,3786.49,946.39
-1,1,3,196385.41,1989.03
-1,5,13,3257.64,953.28
-1,7,17,965.99,896.47
0,-6,-20,134.14,890.51
0,-4,-12,6063.79,970.1
0,-2,-6,90742.88,1505.35
0,4,10,16307.8,1072.15
1,-3,-9,10234.14,1004.94
1,7,17,1090.68,937.73
2,-6,-20,293.18,888.73
2,6,14,887.95,939.48
2,8,18,290.28,891.5
3,-5,-17,725.44,893.32
3,5,11,4921.2,1003.85
4,-4,-14,-138.04,893.21
4,8,18,491.52,931.64
5,-5,-19,443.84,890.11
5,-3,-11,1918.97,942.47
5,-1,-5,40835.71,1307.12
5,5,11,5319.77,1036.31
5,7,15,611.82,970.21
5,9,19,685.68,930.28
6,-4,-16,-34.37,890.28
6,4,8,2485.67,1097.29
7,-5,-19,332.6,888.67
7,-3,-13,860.42,940.55
7,3,5,28071.75,1505.84
8,-4,-16,1.05,924.26
8,-2,-10,7552.91,1014.53
8,2,2,343274.03,3427.02
8,6,12,408.34,1042.43
8,8,16,633.67,1004.98
9,-3,-13,1138.72,975.4
9,-1,-7,7780.13,1123.33
9,1,-1,86209.34,2183.61
9,5,9,5743.67,1202.88
10,-4,-18,686.85,891.04
10,4,6,16926.17,1502.78
11,-3,-15,484.92,928.8
11,3,3,42992.63,2501.72
11,7,13,1511.58,1073.6
12,-2,-12,128.4,1005.56
12,0,-6,2110.83,1209.09
12,2,0,9587.01,2651.78
12,6,10,2516.0,1241.61
12,8,14,181.63,1069.12
13,-3,-17,430.94,930.76
13,-1,-9,1956.04,1116.82
13,5,7,3218.32,1505.5
14,-2,-14,360.57,966.59
14,4,4,5551.33,2246.75
14,8,14,1070.83,1137.41
15,-1,-11,1185.41,1076.83
15,1,-5,3121.13,1380.38
15,3,1,37520.51,4128.62
15,7,11,240.22,1259.79
16,-2,-14,202.5,1004.24
16,0,-8,1981.38,1209.29
16,2,-2,11355.74,1837.78
16,6,8,1324.44,1519.52
16,8,12,1588.53,1260.87
17,-1,-13,1359.97,1036.32
17,5,5,3355.95,2154.66
18,0,-10,543.75,1139.52
18,2,-4,2390.67,1547.77
18,4,2,24553.88,6269.8
19,1,-7,251.98,1288.78
20,4,0,4672.54,2608.91
21,3,-3,1845.29,1717.2
-21,-3,-3,24483.75,6407.01
-20,-4,-6,2148.96,2255.79
-20,-2,0,3522.37,2329.68
-19,-5,-9,1126.94,1584.18
-19,-3,-3,24981.37,6528.84
-19,1,7,1183.84,1232.33
-18,-4,-6,2757.32,2078.48
-18,0,4,1330.91,1445.99
-18,2,10,362.51,1109.57
-17,1,7,736.17,1228.99
-16,0,4,2627.33,1426.99
-16,4,14,381.93,1009.72
-15,-5,-11,2397.87,1287.5
-15,-1,1,5053.61,1946.01
-15,1,7,2331.35,1181.22
-15,3,11,788.84,1046.74
-14,-6,-14,948.92,1135.2
-14,0,4,4294.14,1418.38
-14,4,14,353.42,971.74
-13,-5,-11,1102.99,1228.76
-13,-3,-5,8967.59,1924.29
-13,-1,1,17708.11,1975.4
-13,3,11,907.46,1008.69
-13,5,15,605.12,969.32
-12,-6,-14,1676.36,1071.49
-12,-4,-8,5833.71,1389.72
-12,-2,-2,477399.97,7669.09
-11,-5,-11,1845.34,1144.33
-11,-3,-5,38454.43,1837.61
-11,-1,1,47836.46,2091.91
-11,3,11,404.16,1008.74
-11,5,15,433.68,935.04
-10,-4,-8,6530.15,1320.71
-10,2,8,13557.64,1122.16
-9,5,15,1652.13,938.93
-8,-6,-16,935.04,1005.46
-8,2,8,997.95,1019.43
-8,4,12,4434.77,962.11
-7,-7,-19,914.63,971.97
-7,-5,-13,1528.03,1007.1
-7,1,5,16356.89,1216.58
-7,7,19,477.87,893.08
-6,-6,-16,410.51,963.88
-6,-4,-10,12777.49,1114.64
-6,0,2,118378.12,1966.8
-6,4,12,2039.13,945.92
-6,6,16,504.18,936.74
-5,-5,-13,2221.16,980.89
-5,-3,-7,53045.05,1366.98
-5,-1,-1,1193506.5,5710.65
-5,3,9,15056.52,1059.29
-4,-6,-18,307.93,931.47
-4,-4,-10,3828.61,1030.48
-4,-2,-4,36020.48,1471.03
-4,6,16,1333.67,895.99
-3,3,9,21832.41,1066.0
-3,5,13,1544.24,946.85
-2,-6,-18,941.23,931.6
-2,2,6,23566.37,1156.38
-2,8,20,93.98,893.52
-1,-5,-15,3786.49,946.39
-1,1,3,196385.41,1989.03
-1,5,13,3257.64,953.28
-1,7,17,965.99,896.47
0,-6,-20,134.14,890.51
0,-4,-12,6063.79,970.1
0,-2,-6,90742.88,1505.35
0,4,10,16307.8,1072.15
1,-3,-9,10234.14,1004.94
1,-1,-3,130579.41,1804.54
1,7,17,1090.68,937.73
2,-6,-20,293.18,888.73
2,6,14,887.95,939.48
2,8,18,290.28,891.5
3,-5,-17,725.44,893.32
3,5,11,4921.2,1003.85
4,-4,-14,-138.04,893.21
4,8,18,491.52,931.64
5,-5,-19,443.84,890.11
5,-3,-11,1918.97,942.47
5,-1,-5,40835.71,1307.12
5,5,11,5319.77,1036.31
5,7,15,611.82,970.21
5,9,19,685.68,930.28
6,4,8,2485.67,1097.29
7,-5,-19,332.6,888.67
7,3,5,28071.75,1505.84
8,-4,-16,1.05,924.26
8,-2,-10,7552.91,1014.53
8,2,2,343274.03,3427.02
8,6,12,408.34,1042.43
8,8,16,633.67,1004.98
9,-3,-13,1138.72,975.4
9,-1,-7,7780.13,1123.33
9,1,-1,86209.34,2183.61
9,5,9,5743.67,1202.88
9,7,13,171.1,1042.19
10,-4,-18,686.85,891.04
10,4,6,16926.17,1502.78
11,-3,-15,484.92,928.8
11,3,3,42992.63,2501.72
11,7,13,1511.58,1073.6
12,-2,-12,128.4,1005.56
12,0,-6,2110.83,1209.09
12,2,0,9587.01,2651.78
12,6,10,2516.0,1241.61
12,8,14,181.63,1069.12
13,-3,-17,430.94,930.76
13,-1,-9,1956.04,1116.82
13,5,7,3218.32,1505.5
14,-2,-14,360.57,966.59
14,4,4,5551.33,2246.75
14,8,14,1070.83,1137.41
15,-1,-11,1185.41,1076.83
15,1,-5,3121.13,1380.38
15,3,1,37520.51,4128.62
15,7,11,240.22,1259.79
16,-2,-14,202.5,1004.24
16,0,-8,1981.38,1209.29
16,2,-2,11355.74,1837.78
16,6,8,1324.44,1519.52
16,8,12,1588.53,1260.87
17,-1,-13,1359.97,1036.32
17,5,5,3355.95,2154.66
18,0,-10,543.75,1139.52
18,2,-4,2390.67,1547.77
18,4,2,24553.88,6269.8
19,1,-7,251.98,1288.78
20,4,0,4672.54,2608.91
21,3,-3,1845.29,1717.2
-21,-3,-3,24483.75,6407.01
-20,-4,-6,2148.96,2255.79
-20,-2,0,3522.37,2329.68
-19,-5,-9,1126.94,1584.18
-19,-3,-3,24981.37,6528.84
-19,1,7,1183.84,1232.33
-18,-4,-6,2757.32,2078.48
-18,0,4,1330.91,1445.99
-18,2,10,362.51,1109.57
-17,1,7,736.17,1228.99
-16,0,4,2627.33,1426.99
-16,4,14,381.93,1009.72
-15,-1,1,5053.61,1946.01
-15,1,7,2331.35,1181.22
-15,3,11,788.84,1046.74
-14,-6,-14,948.92,1135.2
-14,0,4,4294.14,1418.38
-14,4,14,353.42,971.74
-13,-5,-11,1102.99,1228.76
-13,-3,-5,8967.59,1924.29
-13,-1,1,17708.11,1975.4
-13,3,11,907.46,1008.69
-13,5,15,605.12,969.32
-12,-6,-14,1676.36,1071.49
-12,-4,-8,5833.71,1389.72
-12,-2,-2,477399.97,7669.09
-11,-5,-11,1845.34,1144.33
-11,-3,-5,38454.43,1837.61
-11,-1,1,47836.46,2091.91
-11,3,11,404.16,1008.74
-11,5,15,433.68,935.04
-10,-4,-8,6530.15,1320.71
-10,2,8,13557.64,1122.16
-9,5,15,1652.13,938.93
-8,-6,-16,935.04,1005.46
-8,2,8,997.95,1019.43
-8,4,12,4434.77,962.11
-7,-7,-19,914.63,971.97
-7,-5,-13,1528.03,1007.1
-7,1,5,16356.89,1216.58
-7,7,19,477.87,893.08
-6,-6,-16,410.51,963.88
-6,-4,-10,12777.49,1114.64
-6,0,2,118378.12,1966.8
-6,4,12,2039.13,945.92
-6,6,16,504.18,936.74
-5,-5,-13,2221.16,980.89
-5,-3,-7,53045.05,1366.98
-5,-1,-1,1193506.5,5710.65
-5,3,9,15056.52,1059.29
-4,-6,-18,307.93,931.47
-4,-4,-10,3828.61,1030.48
-4,-2,-4,36020.48,1471.03
-4,6,16,1333.67,895.99
-3,3,9,21832.41,1066.0
-3,5,13,1544.24,946.85
-2,-6,-18,941.23,931.6
-2,2,6,23566.37,1156.38
-2,8,20,93.98,893.52
-1,-5,-15,3786.49,946.39
-1,1,3,196385.41,1989.03
-1,5,13,3257.64,953.28
-1,7,17,965.99,896.47
0,-6,-20,134.14,890.51
0,-6,-18,392.06,890.27
0,-4,-12,6063.79,970.1
0,4,10,16307.8,1072.15
1,-5,-15,1379.98,936.02
1,-3,-9,10234.14,1004.94
1,-1,-3,130579.41,1804.54
1,7,17,1090.68,937.73
2,-6,-20,293.18,888.73
2,6,14,887.95,939.48
2,8,18,290.28,891.5
3,-5,-17,725.44,893.32
3,5,11,4921.2,1003.85
4,-4,-14,-138.04,893.21
4,8,18,491.52,931.64
5,-5,-19,443.84,890.11
5,-3,-11,1918.97,942.47
5,-1,-5,40835.71,1307.12
5,5,11,5319.77,1036.31
5,7,15,611.82,970.21
5,9,19,685.68,930.28
6,-2,-8,32067.27,1186.24
6,4,8,2485.67,1097.29
6,6,12,2453.47,1014.67
7,-5,-19,332.6,888.67
7,3,5,28071.75,1505.84
8,-4,-16,1.05,924.26
8,-2,-10,7552.91,1014.53
8,2,2,343274.03,3427.02
8,6,12,408.34,1042.43
8,8,16,633.67,1004.98
9,-3,-13,1138.72,975.4
9,-1,-7,7780.13,1123.33
9,1,-1,86209.34,2183.61
9,5,9,5743.67,1202.88
9,7,13,171.1,1042.19
10,-4,-18,686.85,891.04
10,4,6,16926.17,1502.78
11,-3,-15,484.92,928.8
11,3,3,42992.63,2501.72
11,7,13,1511.58,1073.6
12,-2,-12,128.4,1005.56
12,0,-6,2110.83,1209.09
12,2,0,9587.01,2651.78
12,6,10,2516.0,1241.61
12,8,14,181.63,1069.12
13,-3,-17,430.94,930.76
13,-1,-9,1956.04,1116.82
13,1,-3,9557.24,1561.36
13,5,7,3218.32,1505.5
14,-2,-14,360.57,966.59
14,4,4,5551.33,2246.75
14,8,14,1070.83,1137.41
15,-1,-11,1185.41,1076.83
15,1,-5,3121.13,1380.38
15,3,1,37520.51,4128.62
15,7,11,240.22,1259.79
16,-2,-14,202.5,1004.24
16,0,-8,1981.38,1209.29
16,2,-2,11355.74,1837.78
16,6,8,1324.44,1519.52
16,8,12,1588.53,1260.87
17,-1,-13,1359.97,1036.32
17,5,5,3355.95,2154.66
18,0,-10,543.75,1139.52
18,2,-4,2390.67,1547.77
18,4,2,24553.88,6269.8
19,1,-7,251.98,1288.78
20,4,0,4672.54,2608.91
21,3,-3,1845.29,1717.2
-21,-3,-3,24483.75,6407.01
-20,-4,-6,2148.96,2255.79
-20,-2,0,3522.37,2329.68
-19,-5,-9,1126.94,1584.18
-19,-3,-3,24981.37,6528.84
-19,1,7,1183.84,1232.33
-18,-4,-6,2757.32,2078.48
-18,0,4,1330.91,1445.99
-18,2,10,362.51,1109.57
-17,1,7,736.17,1228.99
-17,3,11,-45.21,1077.08
-16,0,4,2627.33,1426.99
-16,4,14,381.93,1009.72
-15,-1,1,5053.61,1946.01
-15,1,7,2331.35,1181.22
-15,3,11,788.84,1046.74
-14,-6,-14,948.92,1135.2
-14,0,4,4294.14,1418.38
-14,4,14,353.42,971.74
-13,-5,-11,1102.99,1228.76
-13,-3,-5,8967.59,1924.29
-13,-1,1,17708.11,1975.4
-13,3,11,907.46,1008.69
-13,5,15,605.12,969.32
-12,-6,-14,1676.36,1071.49
-12,-4,-8,5833.71,1389.72
-12,-2,-2,477399.97,7669.09
-12,2,8,271.81,1080.57
-11,-5,-11,1845.34,1144.33
-11,-3,-5,38454.43,1837.61
-11,-1,1,47836.46,2091.91
-11,3,11,404.16,1008.74
-11,5,15,433.68,935.04
-10,-6,-14,32.35,1038.26
-10,-4,-8,6530.15,1320.71
-10,2,8,13557.64,1122.16
-9,1,5,10998.74,1231.8
-9,5,15,1652.13,938.93
-8,-6,-16,935.04,1005.46
-8,4,12,4434.77,962.11
-7,-7,-19,914.63,971.97
-7,-5,-13,1528.03,1007.1
-7,1,5,16356.89,1216.58
-7,7,19,477.87,893.08
-6,-6,-16,410.51,963.88
-6,-4,-10,12777.49,1114.64
-6,0,2,118378.12,1966.8
-6,4,12,2039.13,945.92
-6,6,16,504.18,936.74
-5,-5,-13,2221.16,980.89
-5,-3,-7,53045.05,1366.98
-5,-1,-1,1193506.5,5710.65
-5,3,9,15056.52,1059.29
-4,-4,-10,3828.61,1030.48
-4,-2,-4,36020.48,1471.03
-4,6,16,1333.67,895.99
-3,5,13,1544.24,946.85
-3,7,17,503.67,894.03
-2,-6,-18,941.23,931.6
-2,2,6,23566.37,1156.38
-2,8,20,93.98,893.52
-1,-5,-15,3786.49,946.39
-1,1,3,196385.41,1989.03
-1,5,13,3257.64,953.28
-1,7,17,965.99,896.47
0,-6,-18,392.06,890.27
0,-4,-12,6063.79,970.1
0,4,10,16307.8,1072.15
1,-5,-15,1379.98,936.02
1,-3,-9,10234.14,1004.94
1,-1,-3,130579.41,1804.54
1,3,7,7679.85,1077.89
2,-6,-20,293.18,888.73
2,6,14,887.95,939.48
2,8,18,290.28,891.5
3,-5,-17,725.44,893.32
3,5,11,4921.2,1003.85
4,-6,-20,556.15,847.03
4,-4,-14,-138.04,893.21
4,8,18,491.52,931.64
5,-5,-17,34.22,889.64
5,-3,-11,1918.97,942.47
5,-1,-5,40835.71,1307.12
5,7,15,611.82,970.21
5,9,19,685.68,930.28
6,-2,-8,32067.27,1186.24
6,4,8,2485.67,1097.29
6,6,12,2453.47,1014.67
7,-5,-19,332.6,888.67
7,3,5,28071.75,1505.84
8,-4,-16,1.05,924.26
8,-2,-10,7552.91,1014.53
8,2,2,343274.03,3427.02
8,6,12,408.34,1042.43
8,8,16,633.67,1004.98
9,-3,-13,1138.72,975.4
9,-1,-7,7780.13,1123.33
9,1,-1,86209.34,2183.61
9,5,9,5743.67,1202.88
9,7,13,171.1,1042.19
10,-4,-18,686.85,891.04
10,-2,-10,1122.53,1012.01
10,4,6,16926.17,1502.78
11,-3,-15,484.92,928.8
11,3,3,42992.63,2501.72
11,7,13,1511.58,1073.6
12,-2,-12,128.4,1005.56
12,0,-6,2110.83,1209.09
12,2,0,9587.01,2651.78
12,6,10,2516.0,1241.61
12,8,14,181.63,1069.12
13,-3,-15,1038.48,968.73
13,-1,-9,1956.04,1116.82
13,1,-3,9557.24,1561.36
13,5,7,3218.32,1505.5
14,-2,-14,360.57,966.59
14,4,4,5551.33,2246.75
15,-1,-11,1185.41,1076.83
15,1,-5,3121.13,1380.38
15,3,1,37520.51,4128.62
15,7,11,240.22,1259.79
16,-2,-14,202.5,1004.24
16,0,-8,1981.38,1209.29
16,2,-2,11355.74,1837.78
16,6,8,1324.44,1519.52
16,8,12,1588.53,1260.87
17,5,5,3355.95,2154.66
17,7,9,1366.95,1472.54
18,0,-10,543.75,1139.52
18,2,-4,2390.67,1547.77
18,4,2,24553.88,6269.8
19,1,-7,251.98,1288.78
19,3,-1,4380.69,2133.44
20,4,0,4672.54,2608.91
21,3,-3,1845.29,1717.2
-21,-3,-3,24483.75,6407.01
-20,-4,-6,2148.96,2255.79
-20,-2,0,3522.37,2329.68
-19,-5,-9,1126.94,1584.18
-19,-3,-3,24981.37,6528.84
-19,1,7,1183.84,1232.33
-18,-4,-6,2757.32,2078.48
-18,0,4,1330.91,1445.99
-17,1,7,736.17,1228.99
-17,3,11,-45.21,1077.08
-16,0,4,2627.33,1426.99
