h,k,l,I,sigma,intensity,frame,gx,gy,gz,g_norm
11,-1,-13,1833.96,975.19,,,1.64444,2.2411,1.47389,3.14627777789883
11,5,11,1016.07,1141.22,,,2.40104,-1.60376,-0.86317,3.0136525460145536
11,7,17,808.63,1041.44,,,2.6070599999999997,-2.62788,-1.38215,3.9513103852393066
12,0,-10,359.16,1042.3,,,1.9272999999999998,1.76918,1.2066,2.8810357030762392
12,6,14,1091.0,1107.99,,,2.6839,-2.07568,-1.13046,3.5762699120731924
13,-1,-17,892.77,931.01,,,1.91178,2.83638,1.97837,3.9514430439650776
13,-1,-15,8.7,964.53,,,1.9579600000000001,2.5788800000000003,1.71833,3.665636016423344
13,1,-7,6009.31,1207.34,,,2.2101599999999997,1.29726,0.93931,2.7294677153796854
13,5,9,1560.35,1324.47,,,2.7145599999999996,-1.2659799999999999,-0.61873,3.058491158545337
13,7,15,919.72,1070.1,,,2.92058,-2.2901000000000002,-1.13771,3.8818461575003202
14,0,-12,547.97,1040.25,,,2.2408200000000003,2.10696,1.4510399999999999,3.4008927938998603
14,6,12,2106.44,1204.54,,,2.99742,-1.7379,-0.88602,3.5762906071514937
15,1,-9,213.72,1142.49,,,2.52368,1.63504,1.1837499999999999,3.23165292172597
15,3,1,37520.51,4128.62,,,2.82206,0.09592000000000006,0.14469,2.8273942926482682
16,0,-14,471.55,1010.41,,,2.5543400000000003,2.44474,1.6954799999999999,3.921231813295409
16,2,-4,2100.28,1501.01,,,2.8527200000000006,0.9056200000000001,0.65642,3.064155054692893
16,4,4,23666.89,2643.9,,,3.10492,-0.376,-0.12260000000000004,3.130005585681917
16,6,10,827.49,1372.46,,,3.3109400000000004,-1.40012,-0.64158,3.651613971163984
17,1,-11,1041.69,1075.38,,,2.8372,1.97282,1.4281899999999998,3.739177619276731
17,3,-1,4382.54,2143.1,,,3.1355800000000005,0.4337,0.38913,3.1892600683073815
18,2,-8,1859.15,1239.15,,,3.1200600000000005,1.5009000000000001,1.1609,3.6517343856857942
18,2,-6,962.58,1371.06,,,3.1662400000000006,1.2434,0.90086,3.5189015384349704
18,4,2,24553.88,6269.8,,,3.4184400000000004,-0.038219999999999976,0.12184,3.42082413865431
18,6,8,1574.8,1634.4,,,3.6244600000000005,-1.06234,-0.39714000000000005,3.7977620708517277
19,3,-3,2671.68,1702.55,,,3.4491000000000005,0.7714799999999999,0.63357,3.590666114427796
19,5,5,3083.28,2434.29,,,3.7013000000000003,-0.51014,-0.14545000000000005,3.7391202457396315
20,4,0,4672.54,2608.91,,,3.7319600000000004,0.29956000000000005,0.36627999999999994,3.7618376724149067
-21,-3,-3,24483.75,6407.01,,,-3.94734,-0.07925999999999997,0.16215000000000002,3.951464012957729
-21,-1,5,1223.88,1445.49,,,-3.69514,-1.36088,-0.61687,3.98579761037863
-20,-2,0,3522.37,2329.68,,,-3.6644800000000006,-0.55118,-0.10513999999999998,3.707191319907836
-20,0,8,1125.63,1227.54,,,-3.4122800000000004,-1.8328000000000002,-0.88416,3.972977415490806
-19,-1,5,1199.17,1419.55,,,-3.33544,-1.2806,-0.63247,3.628376311037762
-18,-4,-10,454.28,1468.44,,,-3.6031600000000004,1.06822,0.91832,3.868742376586997
-18,-4,-8,1484.21,1669.86,,,-3.5569800000000003,0.81072,0.65828,3.7071156169183612
-18,-2,0,11309.07,2418.84,,,-3.3047800000000005,-0.47090000000000004,-0.12073999999999999,3.3403436658523633
-18,0,8,1494.7,1200.97,,,-3.0525800000000003,-1.75252,-0.89976,3.6330619406225377
-17,-3,-5,4885.69,2310.24,,,-3.2741200000000004,0.3388000000000001,0.39099000000000006,3.3147428851269902
-17,-1,3,3581.82,1596.43,,,-3.02192,-0.94282,-0.38803,3.1892753596546037
-17,1,11,1001.47,1072.72,,,-2.7697200000000004,-2.22444,-1.16705,3.7391827843126366
-16,-4,-10,825.77,1392.76,,,-3.2434600000000002,1.1485,0.90272,3.557244498203631
-16,-2,0,5381.28,2465.95,,,-2.9450800000000004,-0.39062,-0.13634,2.973998787222349
-16,2,14,1529.11,1011.44,,,-2.48686,-2.6963600000000003,-1.43434,3.938548101115435
-15,-3,-5,25856.96,2144.17,,,-2.9144200000000002,0.41907999999999995,0.37539,2.9682300508720685
-15,-1,3,8264.8,1589.67,,,-2.66222,-0.8625400000000001,-0.40363,2.8274206897630214
-14,-4,-10,7216.77,1343.17,,,-2.88376,1.22878,0.8871199999999999,3.257752894312274
-14,0,6,8401.68,1268.46,,,-2.37936,-1.33446,-0.67092,2.8093186269271775
-13,-5,-15,232.26,1103.75,,,-2.8531,2.03848,1.39885,3.7752300119198035
-13,-1,3,10544.81,1562.36,,,-2.30252,-0.7822600000000001,-0.41923,2.467647229832498
-13,1,9,3838.65,1100.13,,,-2.0965000000000003,-1.80638,-0.93821,2.922081271713708
-12,-4,-12,1984.71,1147.96,,,-2.57024,1.56656,1.13156,3.2156915158018498
-12,-2,-2,477399.97,7669.09,,,-2.27186,0.02744000000000002,0.0925,2.273907883622378
-12,0,6,910.54,1206.22,,,-2.01966,-1.25418,-0.68652,2.4745310057463414
-12,2,12,1553.25,1011.08,,,-1.8136399999999997,-2.2783,-1.2055,3.1516933844522375
-11,-5,-17,382.55,1037.57,,,-2.53958,2.3762600000000003,1.64329,3.846619319363433
-11,-3,-7,9108.35,1457.93,,,-2.2412,0.83714,0.60423,2.4675645305644998
-11,1,9,3693.25,1063.26,,,-1.7368,-1.7261,-0.9538099999999999,2.627860149646476
-11,3,15,937.27,937.05,,,-1.53078,-2.75022,-1.47279,3.475069472816335
-10,-4,-12,1816.29,1108.88,,,-2.21054,1.64684,1.11596,2.973875552002807
-10,2,12,967.59,981.92,,,-1.4539400000000002,-2.19802,-1.2210999999999999,2.904534154386896
-10,4,18,278.32,894.96,,,-1.2479200000000001,-3.22214,-1.74008,3.8687683973585187
-9,-5,-19,506.72,967.72,,,-2.2260600000000004,2.7140400000000002,1.88773,3.985584122572249
-9,-1,1,94879.03,2212.08,,,-1.6293000000000002,-0.3642,-0.19039,1.680329873001132
-9,3,15,1173.31,936.67,,,-1.1710800000000001,-2.66994,-1.4883899999999999,3.273425233925467
-8,-4,-14,2316.78,1048.82,,,-1.89702,1.98462,1.3604,3.0639989531329803
-8,-2,-4,2314.66,1679.49,,,-1.59864,0.4455,0.32134,1.6903785064890053
-8,0,4,68214.7,1571.35,,,-1.34644,-0.83612,-0.45768,1.6496873371642276
-8,4,18,295.92,894.13,,,-0.8882200000000001,-3.14186,-1.75568,3.707105513793747
-7,-5,-19,624.41,927.9,,,-1.86636,2.79432,1.87213,3.846608200596988
-7,-3,-9,15181.02,1192.74,,,-1.5679800000000002,1.2552,0.83307,2.1744180704961042
-7,1,7,23598.09,1178.07,,,-1.06358,-1.30804,-0.72497,1.8351437433890567
-6,-4,-16,1181.46,931.9,,,-1.5835,2.3224,1.60484,3.2367461184961663
-6,-4,-14,2760.86,980.66,,,-1.5373199999999998,2.0649,1.3448,2.904419362351105
-6,2,10,1727.85,979.91,,,-0.78072,-1.77996,-0.9922599999999999,2.1822834892836447
-6,4,16,454.03,897.76,,,-0.5747,-2.80408,-1.51124,3.236818047712908
-5,-3,-11,4631.13,1031.81,,,-1.2544600000000001,1.59298,1.07751,2.296145241943549
-5,-1,-1,1193506.5,5710.65,,,-0.95608,0.05385999999999999,0.03845000000000001,0.9583675017966751
-5,3,13,1059.13,942.86,,,-0.49786000000000014,-2.25188,-1.25955,2.6277926699989096
-5,5,19,330.83,894.04,,,-0.29184000000000015,-3.2760000000000002,-1.77853,3.7390527605932498
-4,-4,-18,139.24,932.54,,,-1.2699799999999999,2.66018,1.84928,3.4798338108593634
-4,-4,-16,811.3,933.69,,,-1.2238,2.40268,1.58924,3.1298947905640535
-4,-2,-6,86634.84,1579.1,,,-0.92542,0.86356,0.55018,1.3801579918255735
-4,4,16,1071.39,898.68,,,-0.21500000000000008,-2.7238,-1.52684,3.12994438059209
-3,-3,-11,7171.19,1013.08,,,-0.89476,1.67326,1.06191,2.1744073521996743
-3,5,19,973.21,898.14,,,0.06786000000000003,-3.19572,-1.79413,3.6655332156317995
-2,-4,-18,946.35,930.77,,,-0.91028,2.74046,1.83368,3.4206889704268644
-2,6,20,529.9,894.52,,,0.30454,-3.41014,-1.80138,3.868690907219133
-1,-3,-13,8045.44,973.13,,,-0.58124,2.01104,1.30635,2.467523483515405
-1,3,11,4334.66,966.71,,,0.17536,-1.83382,-1.03071,2.1109263431252168
-1,5,17,879.26,938.4,,,0.38138,-2.85794,-1.54969,3.2733485674611558
0,-4,-20,487.56,888.11,,,-0.59676,3.07824,2.07812,3.76168402841068
0,4,14,547.98,939.03,,,0.45821999999999996,-2.30574,-1.298,2.6853689720409
0,6,20,1034.39,896.0,,,0.6642399999999999,-3.32986,-1.81698,3.851051637877633
1,-3,-15,1578.11,898.65,,,-0.26771999999999996,2.34882,1.55079,2.8272918163677407
1,-1,-5,86712.55,1531.78,,,0.03066000000000002,0.8097000000000001,0.51173,0.9583432153983249
1,5,17,113.11,896.72,,,0.74108,-2.77766,-1.5652899999999998,3.27333582543863
2,-2,-10,-118.48,939.0,,,0.06132000000000004,1.6194000000000002,1.02346,1.9166864307966498
2,2,6,5666.83,1108.02,,,0.56572,-0.94384,-0.53458,1.2233760012359243
3,-3,-17,651.52,893.38,,,0.04580000000000001,2.6866,1.7952299999999999,3.2315271858519155
3,3,9,16504.93,1108.63,,,0.8485799999999999,-1.4157600000000001,-0.80187,1.8350640018538862
3,5,15,1066.99,938.48,,,1.0546,-2.43988,-1.32085,2.9681375131385
4,-2,-12,683.18,941.42,,,0.37484000000000006,1.9571800000000001,1.2679,2.3619121465456754
4,4,12,5949.3,1007.46,,,1.13144,-1.88768,-1.06916,2.4467520024718485
4,6,18,1336.41,937.83,,,1.33746,-2.9118,-1.5881399999999999,3.5762504318349966
5,-3,-19,758.82,883.99,,,0.35932000000000014,3.0243800000000003,2.03967,3.665547565603262
5,5,15,1342.67,975.45,,,1.4143000000000001,-2.3596,-1.33645,3.0584400030898102
6,-2,-14,633.64,934.97,,,0.68836,2.29496,1.51234,2.833346637247197
6,0,-4,1705.02,1229.01,,,0.98674,0.7558400000000001,0.47328,1.330016500499148
6,2,4,118797.15,1940.97,,,1.23894,-0.52578,-0.30574,1.380178930284041
7,-1,-9,8420.2,1060.25,,,1.0173999999999999,1.56554,0.9850099999999999,2.110986250950015
7,1,-1,168225.88,2431.71,,,1.2696,0.28392,0.20599,1.3171661271456994
7,3,7,27909.7,1348.06,,,1.5218,-0.9977,-0.57303,1.9077850798504532
7,5,13,1578.02,1014.2,,,1.7278200000000001,-2.02182,-1.09201,2.874996331284616
7,7,19,319.94,928.77,,,1.93384,-3.0459400000000003,-1.61099,3.9513005971831605
8,-2,-16,1006.83,888.06,,,1.00188,2.63274,1.75678,3.319843280999873
8,0,-6,2229.99,1131.68,,,1.3002600000000002,1.09362,0.71772,1.8443976714363963
8,2,2,343274.03,3427.02,,,1.55246,-0.188,-0.06130000000000002,1.5650027928409584
8,4,10,1373.1,1119.98,,,1.8046600000000002,-1.46962,-0.84032,2.474412730811091
8,6,16,203.93,1002.31,,,2.01068,-2.49374,-1.3593,3.4798376025326236
9,-1,-11,1623.17,982.03,,,1.33092,1.9033200000000001,1.22945,2.627836062485634
9,3,5,13015.37,1611.81,,,1.8353200000000003,-0.6599200000000001,-0.32859000000000005,1.9778435976841042
10,-2,-18,1000.99,931.44,,,1.3154000000000003,2.97052,2.00122,3.815645124851104
10,0,-8,4784.26,1104.02,,,1.6137800000000002,1.4314,0.96216,2.361978770861415
10,4,8,1541.6,1293.39,,,2.11818,-1.13184,-0.59588,2.4744335255569103
10,6,14,595.54,1037.02,,,2.3242000000000003,-2.15596,-1.11486,3.3605032333268183
11,-1,-15,318.49,932.1,,,1.59826,2.4986,1.73393,3.4356877379208957
11,-1,-13,1833.96,975.19,,,1.64444,2.2411,1.47389,3.14627777789883
11,5,11,1016.07,1141.22,,,2.40104,-1.60376,-0.86317,3.0136525460145536
11,7,17,808.63,1041.44,,,2.6070599999999997,-2.62788,-1.38215,3.9513103852393066
12,0,-10,359.16,1042.3,,,1.9272999999999998,1.76918,1.2066,2.8810357030762392
12,4,6,2637.08,1575.3,,,2.4316999999999998,-0.79406,-0.35144000000000003,2.5820933846784087
13,-1,-17,892.77,931.01,,,1.91178,2.83638,1.97837,3.9514430439650776
13,-1,-15,8.7,964.53,,,1.9579600000000001,2.5788800000000003,1.71833,3.665636016423344
13,5,9,1560.35,1324.47,,,2.7145599999999996,-1.2659799999999999,-0.61873,3.058491158545337
13,7,15,919.72,1070.1,,,2.92058,-2.2901000000000002,-1.13771,3.8818461575003202
14,0,-12,547.97,1040.25,,,2.2408200000000003,2.10696,1.4510399999999999,3.4008927938998603
14,6,12,2106.44,1204.54,,,2.99742,-1.7379,-0.88602,3.5762906071514937
15,1,-9,213.72,1142.49,,,2.52368,1.63504,1.1837499999999999,3.23165292172597
15,3,1,37520.51,4128.62,,,2.82206,0.09592000000000006,0.14469,2.8273942926482682
15,5,7,2500.82,1620.5,,,3.02808,-0.9281999999999999,-0.37429,3.189187471833539
16,0,-14,471.55,1010.41,,,2.5543400000000003,2.44474,1.6954799999999999,3.921231813295409
16,2,-4,2100.28,1501.01,,,2.8527200000000006,0.9056200000000001,0.65642,3.064155054692893
16,4,4,23666.89,2643.9,,,3.10492,-0.376,-0.12260000000000004,3.130005585681917
16,6,10,827.49,1372.46,,,3.3109400000000004,-1.40012,-0.64158,3.651613971163984
17,1,-11,1041.69,1075.38,,,2.8372,1.97282,1.4281899999999998,3.739177619276731
17,3,-1,4382.54,2143.1,,,3.1355800000000005,0.4337,0.38913,3.1892600683073815
18,2,-6,962.58,1371.06,,,3.1662400000000006,1.2434,0.90086,3.5189015384349704
18,4,2,24553.88,6269.8,,,3.4184400000000004,-0.038219999999999976,0.12184,3.42082413865431
18,6,8,1574.8,1634.4,,,3.6244600000000005,-1.06234,-0.39714000000000005,3.7977620708517277
19,3,-3,2671.68,1702.55,,,3.4491000000000005,0.7714799999999999,0.63357,3.590666114427796
19,5,5,3083.28,2434.29,,,3.7013000000000003,-0.51014,-0.14545000000000005,3.7391202457396315
20,2,-8,842.99,1261.02,,,3.4797600000000006,1.58118,1.1453,3.990059139912591
20,4,0,4672.54,2608.91,,,3.7319600000000004,0.29956000000000005,0.36627999999999994,3.7618376724149067
-21,-3,-3,24483.75,6407.01,,,-3.94734,-0.07925999999999997,0.16215000000000002,3.951464012957729
-21,-1,5,1223.88,1445.49,,,-3.69514,-1.36088,-0.61687,3.98579761037863
-20,-2,0,3522.37,2329.68,,,-3.6644800000000006,-0.55118,-0.10513999999999998,3.707191319907836
-20,0,8,1125.63,1227.54,,,-3.4122800000000004,-1.8328000000000002,-0.88416,3.972977415490806
-18,-4,-8,1484.21,1669.86,,,-3.5569800000000003,0.81072,0.65828,3.7071156169183612
-18,-2,0,11309.07,2418.84,,,-3.3047800000000005,-0.47090000000000004,-0.12073999999999999,3.3403436658523633
-18,0,8,1494.7,1200.97,,,-3.0525800000000003,-1.75252,-0.89976,3.6330619406225377
-17,-3,-5,4885.69,2310.24,,,-3.2741200000000004,0.3388000000000001,0.39099000000000006,3.3147428851269902
-17,-1,3,3581.82,1596.43,,,-3.02192,-0.94282,-0.38803,3.1892753596546037
-17,1,11,1001.47,1072.72,,,-2.7697200000000004,-2.22444,-1.16705,3.7391827843126366
-16,-4,-10,825.77,1392.76,,,-3.2434600000000002,1.1485,0.90272,3.557244498203631
-16,-2,0,5381.28,2465.95,,,-2.9450800000000004,-0.39062,-0.13634,2.973998787222349
-16,2,14,1529.11,1011.44,,,-2.48686,-2.6963600000000003,-1.43434,3.938548101115435
-15,-3,-5,25856.96,2144.17,,,-2.9144200000000002,0.41907999999999995,0.37539,2.9682300508720685
-15,-1,3,8264.8,1589.67,,,-2.66222,-0.8625400000000001,-0.40363,2.8274206897630214
-14,-4,-10,7216.77,1343.17,,,-2.88376,1.22878,0.8871199999999999,3.257752894312274
-14,0,6,8401.68,1268.46,,,-2.37936,-1.33446,-0.67092,2.8093186269271775
-13,-5,-15,232.26,1103.75,,,-2.8531,2.03848,1.39885,3.7752300119198035
-13,1,9,3838.65,1100.13,,,-2.0965000000000003,-1.80638,-0.93821,2.922081271713708
-12,-4,-12,1984.71,1147.96,,,-2.57024,1.56656,1.13156,3.2156915158018498
-12,-2,-2,477399.97,7669.09,,,-2.27186,0.02744000000000002,0.0925,2.273907883622378
-12,0,6,910.54,1206.22,,,-2.01966,-1.25418,-0.68652,2.4745310057463414
-12,2,12,1553.25,1011.08,,,-1.8136399999999997,-2.2783,-1.2055,3.1516933844522375
-11,-5,-17,382.55,1037.57,,,-2.53958,2.3762600000000003,1.64329,3.846619319363433
-11,-3,-7,9108.35,1457.93,,,-2.2412,0.83714,0.60423,2.4675645305644998
-11,1,9,3693.25,1063.26,,,-1.7368,-1.7261,-0.9538099999999999,2.627860149646476
-11,3,15,937.27,937.05,,,-1.53078,-2.75022,-1.47279,3.475069472816335
-10,-4,-12,1816.29,1108.88,,,-2.21054,1.64684,1.11596,2.973875552002807
-10,2,12,967.59,981.92,,,-1.4539400000000002,-2.19802,-1.2210999999999999,2.904534154386896
-10,4,18,278.32,894.96,,,-1.2479200000000001,-3.22214,-1.74008,3.8687683973585187
-9,-5,-19,506.72,967.72,,,-2.2260600000000004,2.7140400000000002,1.88773,3.985584122572249
-9,-1,1,94879.03,2212.08,,,-1.6293000000000002,-0.3642,-0.19039,1.680329873001132
-9,3,15,1173.31,936.67,,,-1.1710800000000001,-2.66994,-1.4883899999999999,3.273425233925467
-8,-4,-14,2316.78,1048.82,,,-1.89702,1.98462,1.3604,3.0639989531329803
-8,-2,-4,2314.66,1679.49,,,-1.59864,0.4455,0.32134,1.6903785064890053
-8,0,4,68214.7,1571.35,,,-1.34644,-0.83612,-0.45768,1.6496873371642276
-8,4,18,295.92,894.13,,,-0.8882200000000001,-3.14186,-1.75568,3.707105513793747
-7,-5,-19,624.41,927.9,,,-1.86636,2.79432,1.87213,3.846608200596988
-7,-3,-9,15181.02,1192.74,,,-1.5679800000000002,1.2552,0.83307,2.1744180704961042
-7,1,7,23598.09,1178.07,,,-1.06358,-1.30804,-0.72497,1.8351437433890567
-7,5,19,977.46,893.76,,,-0.65154,-3.35628,-1.76293,3.846692344716432
-6,-4,-16,1181.46,931.9,,,-1.5835,2.3224,1.60484,3.2367461184961663
-6,-4,-14,2760.86,980.66,,,-1.5373199999999998,2.0649,1.3448,2.904419362351105
-6,2,10,1727.85,979.91,,,-0.78072,-1.77996,-0.9922599999999999,2.1822834892836447
-6,4,16,454.03,897.76,,,-0.5747,-2.80408,-1.51124,3.236818047712908
-5,-3,-11,4631.13,1031.81,,,-1.2544600000000001,1.59298,1.07751,2.296145241943549
-5,-1,-1,1193506.5,5710.65,,,-0.95608,0.05385999999999999,0.03845000000000001,0.9583675017966751
-5,3,13,1059.13,942.86,,,-0.49786000000000014,-2.25188,-1.25955,2.6277926699989096
-5,5,19,330.83,894.04,,,-0.29184000000000015,-3.2760000000000002,-1.77853,3.7390527605932498
-4,-4,-16,811.3,933.69,,,-1.2238,2.40268,1.58924,3.1298947905640535
-4,-2,-6,86634.84,1579.1,,,-0.92542,0.86356,0.55018,1.3801579918255735
-4,0,2,10260.86,1511.92,,,-0.67322,-0.41806,-0.22884,0.8248436685821138
-4,4,16,1071.39,898.68,,,-0.21500000000000008,-2.7238,-1.52684,3.12994438059209
-3,-3,-11,7171.19,1013.08,,,-0.89476,1.67326,1.06191,2.1744073521996743
-3,5,19,973.21,898.14,,,0.06786000000000003,-3.19572,-1.79413,3.6655332156317995
-2,-4,-18,946.35,930.77,,,-0.91028,2.74046,1.83368,3.4206889704268644
-2,2,8,38464.17,1205.67,,,-0.10750000000000004,-1.3619,-0.76342,1.564972190296045
-2,6,20,529.9,894.52,,,0.30454,-3.41014,-1.80138,3.868690907219133
-1,-3,-13,8045.44,973.13,,,-0.58124,2.01104,1.30635,2.467523483515405
-1,3,11,4334.66,966.71,,,0.17536,-1.83382,-1.03071,2.1109263431252168
-1,5,17,879.26,938.4,,,0.38138,-2.85794,-1.54969,3.2733485674611558
0,-4,-20,487.56,888.11,,,-0.59676,3.07824,2.07812,3.76168402841068
0,4,14,547.98,939.03,,,0.45821999999999996,-2.30574,-1.298,2.6853689720409
0,6,20,1034.39,896.0,,,0.6642399999999999,-3.32986,-1.81698,3.851051637877633
1,-3,-15,1578.11,898.65,,,-0.26771999999999996,2.34882,1.55079,2.8272918163677407
1,-1,-5,86712.55,1531.78,,,0.03066000000000002,0.8097000000000001,0.51173,0.9583432153983249
1,1,3,243614.28,2211.81,,,0.28286,-0.47192,-0.26729,0.6116880006179621
1,5,17,113.11,896.72,,,0.74108,-2.77766,-1.5652899999999998,3.27333582543863
2,-2,-10,-118.48,939.0,,,0.06132000000000004,1.6194000000000002,1.02346,1.9166864307966498
2,2,6,5666.83,1108.02,,,0.56572,-0.94384,-0.53458,1.2233760012359243
3,-3,-17,651.52,893.38,,,0.04580000000000001,2.6866,1.7952299999999999,3.2315271858519155
3,3,9,16504.93,1108.63,,,0.8485799999999999,-1.4157600000000001,-0.80187,1.8350640018538862
3,5,15,1066.99,938.48,,,1.0546,-2.43988,-1.32085,2.9681375131385
4,-2,-12,683.18,941.42,,,0.37484000000000006,1.9571800000000001,1.2679,2.3619121465456754
4,4,12,5949.3,1007.46,,,1.13144,-1.88768,-1.06916,2.4467520024718485
4,6,18,1336.41,937.83,,,1.33746,-2.9118,-1.5881399999999999,3.5762504318349966
5,-3,-19,758.82,883.99,,,0.35932000000000014,3.0243800000000003,2.03967,3.665547565603262
5,5,15,1342.67,975.45,,,1.4143000000000001,-2.3596,-1.33645,3.0584400030898102
6,-2,-14,633.64,934.97,,,0.68836,2.29496,1.51234,2.833346637247197
6,0,-4,1705.02,1229.01,,,0.98674,0.7558400000000001,0.47328,1.330016500499148
6,2,4,118797.15,1940.97,,,1.23894,-0.52578,-0.30574,1.380178930284041
7,-1,-9,8420.2,1060.25,,,1.0173999999999999,1.56554,0.9850099999999999,2.110986250950015
7,1,-1,168225.88,2431.71,,,1.2696,0.28392,0.20599,1.3171661271456994
7,3,7,27909.7,1348.06,,,1.5218,-0.9977,-0.57303,1.9077850798504532
7,5,13,1578.02,1014.2,,,1.7278200000000001,-2.02182,-1.09201,2.874996331284616
7,7,19,319.94,928.77,,,1.93384,-3.0459400000000003,-1.61099,3.9513005971831605
8,-2,-16,1006.83,888.06,,,1.00188,2.63274,1.75678,3.319843280999873
8,0,-6,2229.99,1131.68,,,1.3002600000000002,1.09362,0.71772,1.8443976714363963
8,2,2,343274.03,3427.02,,,1.55246,-0.188,-0.06130000000000002,1.5650027928409584
8,6,16,203.93,1002.31,,,2.01068,-2.49374,-1.3593,3.4798376025326236
9,-1,-11,1623.17,982.03,,,1.33092,1.9033200000000001,1.22945,2.627836062485634
9,3,5,13015.37,1611.81,,,1.8353200000000003,-0.6599200000000001,-0.32859000000000005,1.9778435976841042
10,-2,-18,1000.99,931.44,,,1.3154000000000003,2.97052,2.00122,3.815645124851104
10,0,-8,4784.26,1104.02,,,1.6137800000000002,1.4314,0.96216,2.361978770861415
10,4,8,1541.6,1293.39,,,2.11818,-1.13184,-0.59588,2.4744335255569103
10,6,14,595.54,1037.02,,,2.3242000000000003,-2.15596,-1.11486,3.3605032333268183
11,-1,-15,318.49,932.1,,,1.59826,2.4986,1.73393,3.4356877379208957
11,-1,-13,1833.96,975.19,,,1.64444,2.2411,1.47389,3.14627777789883
11,5,11,1016.07,1141.22,,,2.40104,-1.60376,-0.86317,3.0136525460145536
11,7,17,808.63,1041.44,,,2.6070599999999997,-2.62788,-1.38215,3.9513103852393066
12,0,-10,359.16,1042.3,,,1.9272999999999998,1.76918,1.2066,2.8810357030762392
12,4,6,2637.08,1575.3,,,2.4316999999999998,-0.79406,-0.35144000000000003,2.5820933846784087
13,-1,-17,892.77,931.01,,,1.91178,2.83638,1.97837,3.9514430439650776
13,-1,-15,8.7,964.53,,,1.9579600000000001,2.5788800000000003,1.71833,3.665636016423344
13,5,9,1560.35,1324.47,,,2.7145599999999996,-1.2659799999999999,-0.61873,3.058491158545337
13,7,15,919.72,1070.1,,,2.92058,-2.2901000000000002,-1.13771,3.8818461575003202
14,0,-12,547.97,1040.25,,,2.2408200000000003,2.10696,1.4510399999999999,3.4008927938998603
14,2,-2,3671.76,1776.56,,,2.5392,0.56784,0.41198,2.6343322542913987
14,6,12,2106.44,1204.54,,,2.99742,-1.7379,-0.88602,3.5762906071514937
15,1,-9,213.72,1142.49,,,2.52368,1.63504,1.1837499999999999,3.23165292172597
15,3,1,37520.51,4128.62,,,2.82206,0.09592000000000006,0.14469,2.8273942926482682
15,5,7,2500.82,1620.5,,,3.02808,-0.9281999999999999,-0.37429,3.189187471833539
16,0,-14,471.55,1010.41,,,2.5543400000000003,2.44474,1.6954799999999999,3.921231813295409
16,2,-4,2100.28,1501.01,,,2.8527200000000006,0.9056200000000001,0.65642,3.064155054692893
16,6,10,827.49,1372.46,,,3.3109400000000004,-1.40012,-0.64158,3.651613971163984
17,1,-11,1041.69,1075.38,,,2.8372,1.97282,1.4281899999999998,3.739177619276731
17,3,-1,4382.54,2143.1,,,3.1355800000000005,0.4337,0.38913,3.1892600683073815
18,2,-6,962.58,1371.06,,,3.1662400000000006,1.2434,0.90086,3.5189015384349704
18,4,2,24553.88,6269.8,,,3.4184400000000004,-0.038219999999999976,0.12184,3.42082413865431
18,6,8,1574.8,1634.4,,,3.6244600000000005,-1.06234,-0.39714000000000005,3.7977620708517277
19,3,-3,2671.68,1702.55,,,3.4491000000000005,0.7714799999999999,0.63357,3.590666114427796
19,5,5,3083.28,2434.29,,,3.7013000000000003,-0.51014,-0.14545000000000005,3.7391202457396315
20,2,-8,842.99,1261.02,,,3.4797600000000006,1.58118,1.1453,3.990059139912591
20,4,0,4672.54,2608.91,,,3.7319600000000004,0.29956000000000005,0.36627999999999994,3.7618376724149067
-21,-3,-3,24483.75,6407.01,,,-3.94734,-0.07925999999999997,0.16215000000000002,3.951464012957729
-21,-1,5,1223.88,1445.49,,,-3.69514,-1.36088,-0.61687,3.98579761037863
-20,-2,0,3522.37,2329.68,,,-3.6644800000000006,-0.55118,-0.10513999999999998,3.707191319907836
-20,0,8,1125.63,1227.54,,,-3.4122800000000004,-1.8328000000000002,-0.88416,3.972977415490806
-18,-4,-8,1484.21,1669.86,,,-3.5569800000000003,0.81072,0.65828,3.7071156169183612
-18,-2,0,11309.07,2418.84,,,-3.3047800000000005,-0.47090000000000004,-0.12073999999999999,3.3403436658523633
-18,0,8,1494.7,1200.97,,,-3.0525800000000003,-1.75252,-0.89976,3.6330619406225377
-17,-3,-5,4885.69,2310.24,,,-3.2741200000000004,0.3388000000000001,0.39099000000000006,3.3147428851269902
-17,-1,3,3581.82,1596.43,,,-3.02192,-0.94282,-0.38803,3.1892753596546037
-17,1,11,1001.47,1072.72,,,-2.7697200000000004,-2.22444,-1.16705,3.7391827843126366
-16,-4,-10,825.77,1392.76,,,-3.2434600000000002,1.1485,0.90272,3.557244498203631
-16,-2,0,5381.28,2465.95,,,-2.9450800000000004,-0.39062,-0.13634,2.973998787222349
-16,2,14,1529.11,1011.44,,,-2.48686,-2.6963600000000003,-1.43434,3.938548101115435
-15,-3,-5,25856.96,2144.17,,,-2.9144200000000002,0.41907999999999995,0.37539,2.9682300508720685
-15,-1,3,8264.8,1589.67,,,-2.66222,-0.8625400000000001,-0.40363,2.8274206897630214
-14,-4,-10,7216.77,1343.17,,,-2.88376,1.22878,0.8871199999999999,3.257752894312274
