rotation_angle_deg,delta_alpha_deg,beta_deg
14.775000,-0.509302,0.508575
14.877000,-0.513401,0.512672
14.980000,-0.517500,0.516768
15.083000,-0.521599,0.520864
15.185000,-0.525697,0.524961
15.288000,-0.529796,0.529057
15.391000,-0.533895,0.533153
15.493000,-0.537993,0.537249
15.596000,-0.542092,0.541345
15.699000,-0.546191,0.545442
15.801000,-0.550289,0.549538
15.904000,-0.554388,0.553634
16.006000,-0.558486,0.557730
16.109000,-0.562585,0.561826
16.212000,-0.566684,0.565923
16.314000,-0.570782,0.570019
16.417000,-0.574881,0.574115
16.520000,-0.578980,0.578211
16.622000,-0.583078,0.582307
16.725000,-0.587177,0.586404
16.828000,-0.591275,0.590500
16.930000,-0.595374,0.594596
17.033000,-0.599473,0.598692
17.135000,-0.603571,0.602788
17.238000,-0.607670,0.606885
17.341000,-0.611769,0.610981
17.443000,-0.615867,0.615077
17.546000,-0.619965,0.619173
17.649000,-0.624063,0.623268
17.751000,-0.628161,0.627364
17.854000,-0.632258,0.631460
17.956000,-0.636356,0.635555
18.059000,-0.640454,0.639651
18.162000,-0.644552,0.643747
18.264000,-0.648649,0.647842
18.367000,-0.652747,0.651938
18.470000,-0.656845,0.656034
18.572000,-0.660943,0.660130
18.675000,-0.665041,0.664225
18.778000,-0.669138,0.668321
18.880000,-0.673236,0.672417
18.983000,-0.677334,0.676512
19.085000,-0.681432,0.680608
19.188000,-0.685529,0.684704
19.291000,-0.689627,0.688799
19.393000,-0.693725,0.692895
19.496000,-0.697823,0.696991
19.599000,-0.701921,0.701086
19.701000,-0.706018,0.705182
19.804000,-0.710116,0.709278
19.907000,-0.714214,0.713373
20.009000,-0.718312,0.717469
20.112000,-0.722409,0.721564
20.214000,-0.726505,0.725659
20.317000,-0.730602,0.729755
20.420000,-0.734699,0.733850
20.522000,-0.738796,0.737945
20.625000,-0.742893,0.742040
20.728000,-0.746990,0.746135
20.830000,-0.751087,0.750230
20.933000,-0.755184,0.754325
21.035000,-0.759281,0.758421
21.138000,-0.763377,0.762516
21.241000,-0.767474,0.766611
21.343000,-0.771571,0.770706
21.446000,-0.775668,0.774801
21.549000,-0.779765,0.778896
21.651000,-0.783862,0.782991
21.754000,-0.787959,0.787087
21.857000,-0.792056,0.791182
21.959000,-0.796153,0.795277
22.062000,-0.800249,0.799372
22.164000,-0.804346,0.803467
22.267000,-0.808443,0.807562
22.370000,-0.812540,0.811658
22.472000,-0.816637,0.815753
22.575000,-0.820734,0.819848
22.678000,-0.824830,0.823942
22.780000,-0.828926,0.828037
22.883000,-0.833022,0.832132
22.985000,-0.837118,0.836226
23.088000,-0.841214,0.840321
23.191000,-0.845310,0.844415
23.293000,-0.849406,0.848510
23.396000,-0.853502,0.852605
23.499000,-0.857598,0.856699
23.601000,-0.861694,0.860794
23.704000,-0.865790,0.864888
23.807000,-0.869886,0.868983
23.909000,-0.873982,0.873078
24.012000,-0.878078,0.877172
24.114000,-0.882174,0.881267
24.217000,-0.886269,0.885361
24.320000,-0.890365,0.889456
24.422000,-0.894461,0.893551
24.525000,-0.898557,0.897645
24.628000,-0.902653,0.901740
24.730000,-0.906749,0.905834
24.833000,-0.910845,0.909929
24.936000,-0.914941,0.914024
25.038000,-0.919037,0.918118
25.141000,-0.923133,0.922213
25.243000,-0.927228,0.926307
25.346000,-0.931323,0.930401
25.449000,-0.935418,0.934495
25.551000,-0.939513,0.938589
25.654000,-0.943609,0.942683
25.757000,-0.947704,0.946777
25.859000,-0.951799,0.950871
25.962000,-0.955894,0.954965
26.064000,-0.959989,0.959059
26.167000,-0.964084,0.963153
26.270000,-0.968179,0.967247
26.372000,-0.972274,0.971341
26.475000,-0.976369,0.975435
26.578000,-0.980464,0.979529
26.680000,-0.984559,0.983623
26.783000,-0.988654,0.987718
26.886000,-0.992749,0.991812
26.988000,-0.996844,0.995906
27.091000,-1.000939,1.000000
27.193000,-1.005034,1.004094
27.296000,-1.009129,1.008188
27.399000,-1.013224,1.012282
27.501000,-1.017319,1.016376
27.604000,-1.021414,1.020470
27.707000,-1.025509,1.024564
27.809000,-1.029604,1.028657
27.912000,-1.033698,1.032751
28.015000,-1.037792,1.036844
28.117000,-1.041886,1.040938
28.220000,-1.045980,1.045031
28.322000,-1.050074,1.049125
28.425000,-1.054168,1.053218
28.528000,-1.058262,1.057312
28.630000,-1.062356,1.061405
28.733000,-1.066450,1.065499
28.836000,-1.070545,1.069592
28.938000,-1.074639,1.073686
29.041000,-1.078733,1.077779
29.143000,-1.082827,1.081872
29.246000,-1.086921,1.085966
29.349000,-1.091015,1.090059
29.451000,-1.095109,1.094153
29.554000,-1.099203,1.098246
29.657000,-1.103297,1.102340
29.759000,-1.107392,1.106433
29.862000,-1.111486,1.110527
29.965000,-1.115580,1.114620
30.067000,-1.119674,1.118714
30.170000,-1.123768,1.122807
30.272000,-1.127862,1.126901
30.375000,-1.131955,1.130994
30.478000,-1.136048,1.135087
30.580000,-1.140142,1.139179
30.683000,-1.144235,1.143272
30.786000,-1.148328,1.147365
30.888000,-1.152421,1.151458
30.991000,-1.156514,1.155551
31.094000,-1.160607,1.159644
31.196000,-1.164700,1.163737
31.299000,-1.168794,1.167830
31.401000,-1.172887,1.171923
31.504000,-1.176980,1.176016
31.607000,-1.181073,1.180108
31.709000,-1.185166,1.184201
31.812000,-1.189259,1.188294
31.915000,-1.193353,1.192387
32.017000,-1.197446,1.196480
32.120000,-1.201539,1.200573
32.222000,-1.205632,1.204666
32.325000,-1.209725,1.208759
32.428000,-1.213818,1.212852
32.530000,-1.217912,1.216945
32.633000,-1.222005,1.221037
32.736000,-1.226098,1.225130
32.838000,-1.230191,1.229223
32.941000,-1.234283,1.233316
33.044000,-1.238375,1.237408
33.146000,-1.242468,1.241500
33.249000,-1.246560,1.245593
33.351000,-1.250652,1.249685
33.454000,-1.254744,1.253777
33.557000,-1.258836,1.257870
33.659000,-1.262929,1.261962
33.762000,-1.267021,1.266054
33.865000,-1.271113,1.270147
33.967000,-1.275205,1.274239
34.070000,-1.279298,1.278331
34.172000,-1.283390,1.282424
34.275000,-1.287482,1.286516
34.378000,-1.291574,1.290608
34.480000,-1.295666,1.294701
34.583000,-1.299759,1.298793
34.686000,-1.303851,1.302885
34.788000,-1.307943,1.306978
34.891000,-1.312035,1.311070
34.994000,-1.316127,1.315162
35.096000,-1.320220,1.319255
35.199000,-1.324312,1.323347
35.301000,-1.328404,1.327439
35.404000,-1.332496,1.331532
35.507000,-1.336588,1.335623
35.609000,-1.340679,1.339715
35.712000,-1.344770,1.343807
35.815000,-1.348861,1.347899
35.917000,-1.352953,1.351990
36.020000,-1.357044,1.356082
36.123000,-1.361135,1.360174
36.225000,-1.365226,1.364266
36.328000,-1.369318,1.368358
36.430000,-1.373409,1.372449
36.533000,-1.377500,1.376541
36.636000,-1.381592,1.380633
36.738000,-1.385683,1.384725
36.841000,-1.389774,1.388816
36.944000,-1.393865,1.392908
37.046000,-1.397957,1.397000
37.149000,-1.402048,1.401092
37.251000,-1.406139,1.405183
37.354000,-1.410231,1.409275
37.457000,-1.414322,1.413367
37.559000,-1.418413,1.417459
37.662000,-1.422504,1.421551
37.765000,-1.426596,1.425642
37.867000,-1.430687,1.429734
37.970000,-1.434778,1.433826
38.073000,-1.438869,1.437917
38.175000,-1.442959,1.442008
38.278000,-1.447049,1.446100
38.380000,-1.451140,1.450191
38.483000,-1.455230,1.454282
38.586000,-1.459320,1.458373
38.688000,-1.463411,1.462464
38.791000,-1.467501,1.466556
38.894000,-1.471591,1.470647
38.996000,-1.475682,1.474738
39.099000,-1.479772,1.478829
39.202000,-1.483862,1.482920
39.304000,-1.487953,1.487012
39.407000,-1.492043,1.491103
39.509000,-1.496133,1.495194
39.612000,-1.500224,1.499285
39.715000,-1.504314,1.503377
39.817000,-1.508405,1.507468
39.920000,-1.512495,1.511559
40.023000,-1.516585,1.515650
40.125000,-1.520676,1.519741
40.228000,-1.524766,1.523833
40.330000,-1.528856,1.527924
40.433000,-1.532947,1.532015
40.536000,-1.537037,1.536106
40.638000,-1.541126,1.540197
40.741000,-1.545216,1.544288
40.844000,-1.549305,1.548378
40.946000,-1.553395,1.552469
41.049000,-1.557484,1.556560
41.152000,-1.561574,1.560650
41.254000,-1.565663,1.564741
41.357000,-1.569753,1.568832
41.459000,-1.573842,1.572922
41.562000,-1.577932,1.577013
41.665000,-1.582021,1.581104
41.767000,-1.586110,1.585194
41.870000,-1.590200,1.589285
41.973000,-1.594289,1.593376
42.075000,-1.598379,1.597466
42.178000,-1.602468,1.601557
42.281000,-1.606558,1.605648
42.383000,-1.610647,1.609738
42.486000,-1.614737,1.613829
42.588000,-1.618826,1.617920
42.691000,-1.622916,1.622010
42.794000,-1.627005,1.626101
42.896000,-1.631094,1.630192
42.999000,-1.635184,1.634282
43.102000,-1.639273,1.638373
43.204000,-1.643362,1.642463
43.307000,-1.647451,1.646553
43.409000,-1.651539,1.650644
43.512000,-1.655628,1.654734
43.615000,-1.659716,1.658824
43.717000,-1.663805,1.662914
43.820000,-1.667893,1.667004
43.923000,-1.671982,1.671094
44.025000,-1.676071,1.675184
44.128000,-1.680159,1.679275
44.231000,-1.684248,1.683365
44.333000,-1.688336,1.687455
44.436000,-1.692425,1.691545
44.538000,-1.696514,1.695635
44.641000,-1.700602,1.699725
44.744000,-1.704691,1.703815
44.846000,-1.708779,1.707906
44.949000,-1.712868,1.711996
45.052000,-1.716956,1.716086
45.154000,-1.721045,1.720176
45.257000,-1.725134,1.724266
45.359000,-1.729222,1.728356
45.462000,-1.733311,1.732447
45.565000,-1.737399,1.736537
45.667000,-1.741488,1.740627
45.770000,-1.745576,1.744716
45.873000,-1.749663,1.748806
45.975000,-1.753751,1.752896
46.078000,-1.757839,1.756985
46.181000,-1.761927,1.761075
46.283000,-1.766014,1.765165
46.386000,-1.770102,1.769254
46.488000,-1.774190,1.773344
46.591000,-1.778278,1.777434
46.694000,-1.782365,1.781523
46.796000,-1.786453,1.785613
46.899000,-1.790541,1.789703
47.002000,-1.794629,1.793792
47.104000,-1.798716,1.797882
47.207000,-1.802804,1.801972
47.310000,-1.806892,1.806061
47.412000,-1.810980,1.810151
47.515000,-1.815067,1.814240
47.617000,-1.819155,1.818330
47.720000,-1.823243,1.822420
47.823000,-1.827331,1.826509
47.925000,-1.831418,1.830599
48.028000,-1.835506,1.834689
48.131000,-1.839594,1.838778
48.233000,-1.843682,1.842868
48.336000,-1.847769,1.846957
48.438000,-1.851856,1.851046
48.541000,-1.855942,1.855135
48.644000,-1.860029,1.859225
48.746000,-1.864116,1.863314
48.849000,-1.868203,1.867403
48.952000,-1.872290,1.871492
49.054000,-1.876377,1.875581
49.157000,-1.880464,1.879671
49.260000,-1.884551,1.883760
49.362000,-1.888638,1.887849
49.465000,-1.892725,1.891938
49.567000,-1.896812,1.896027
49.670000,-1.900899,1.900116
49.773000,-1.904986,1.904206
49.875000,-1.909073,1.908295
49.978000,-1.913160,1.912384
50.081000,-1.917247,1.916473
50.183000,-1.921334,1.920562
50.286000,-1.925421,1.924651
50.389000,-1.929508,1.928741
50.491000,-1.933595,1.932830
50.594000,-1.937682,1.936919
50.696000,-1.941769,1.941008
50.799000,-1.945855,1.945097
50.902000,-1.949942,1.949186
51.004000,-1.954028,1.953275
51.107000,-1.958114,1.957363
51.210000,-1.962200,1.961452
51.312000,-1.966287,1.965541
51.415000,-1.970373,1.969630
51.517000,-1.974459,1.973718
51.620000,-1.978545,1.977807
51.723000,-1.982631,1.981896
51.825000,-1.986718,1.985984
51.928000,-1.990804,1.990073
52.031000,-1.994890,1.994162
52.133000,-1.998976,1.998251
52.236000,-2.003062,2.002339
52.339000,-2.007149,2.006428
52.441000,-2.011235,2.010517
52.544000,-2.015321,2.014605
52.646000,-2.019407,2.018694
52.749000,-2.023493,2.022783
52.852000,-2.027580,2.026872
52.954000,-2.031666,2.030960
53.057000,-2.035752,2.035049
53.160000,-2.039838,2.039138
53.262000,-2.043925,2.043227
53.365000,-2.048011,2.047315
53.467000,-2.052096,2.051404
53.570000,-2.056182,2.055492
53.673000,-2.060267,2.059580
53.775000,-2.064353,2.063668
53.878000,-2.068438,2.067757
53.981000,-2.072524,2.071845
54.083000,-2.076609,2.075933
54.186000,-2.080695,2.080022
54.289000,-2.084780,2.084110
54.391000,-2.088866,2.088198
54.494000,-2.092951,2.092287
54.596000,-2.097037,2.096375
54.699000,-2.101123,2.100463
54.802000,-2.105208,2.104552
54.904000,-2.109294,2.108640
55.007000,-2.113379,2.112728
55.110000,-2.117465,2.116816
55.212000,-2.121550,2.120905
55.315000,-2.125636,2.124993
55.418000,-2.129721,2.129081
55.520000,-2.133807,2.133170
55.623000,-2.137892,2.137258
55.725000,-2.141978,2.141346
55.828000,-2.146063,2.145435
55.931000,-2.150149,2.149523
56.033000,-2.154234,2.153611
56.136000,-2.158319,2.157699
56.239000,-2.162403,2.161787
56.341000,-2.166488,2.165875
56.444000,-2.170573,2.169963
56.546000,-2.174658,2.174050
56.649000,-2.178743,2.178138
56.752000,-2.182828,2.182226
56.854000,-2.186913,2.186314
56.957000,-2.190998,2.190402
57.060000,-2.195083,2.194490
57.162000,-2.199168,2.198578
57.265000,-2.203252,2.202666
57.368000,-2.207337,2.206754
57.470000,-2.211422,2.210842
57.573000,-2.215507,2.214930
57.675000,-2.219592,2.219018
57.778000,-2.223677,2.223106
57.881000,-2.227762,2.227194
57.983000,-2.231847,2.231281
58.086000,-2.235932,2.235369
58.189000,-2.240017,2.239457
58.291000,-2.244101,2.243545
58.394000,-2.248186,2.247633
58.497000,-2.252271,2.251721
58.599000,-2.256356,2.255809
58.702000,-2.260440,2.259896
58.804000,-2.264524,2.263984
58.907000,-2.268609,2.268072
59.010000,-2.272693,2.272159
59.112000,-2.276777,2.276247
59.215000,-2.280862,2.280334
59.318000,-2.284946,2.284422
59.420000,-2.289030,2.288509
59.523000,-2.293115,2.292597
59.625000,-2.297199,2.296685
59.728000,-2.301283,2.300772
59.831000,-2.305368,2.304860
59.933000,-2.309452,2.308947
60.036000,-2.313536,2.313035
60.139000,-2.317621,2.317123
60.241000,-2.321705,2.321210
60.344000,-2.325789,2.325298
60.447000,-2.329874,2.329385
60.549000,-2.333958,2.333473
60.652000,-2.338042,2.337561
60.754000,-2.342127,2.341648
60.857000,-2.346211,2.345736
60.960000,-2.350295,2.349823
61.062000,-2.354380,2.353911
61.165000,-2.358464,2.357998
61.268000,-2.362547,2.362086
61.370000,-2.366631,2.366173
61.473000,-2.370715,2.370260
61.576000,-2.374799,2.374348
61.678000,-2.378883,2.378435
61.781000,-2.382967,2.382522
61.883000,-2.387051,2.386609
61.986000,-2.391134,2.390697
62.089000,-2.395218,2.394784
62.191000,-2.399302,2.398871
62.294000,-2.403386,2.402959
62.397000,-2.407470,2.407046
62.499000,-2.411554,2.411133
62.602000,-2.415638,2.415221
62.704000,-2.419721,2.419308
62.807000,-2.423805,2.423395
62.910000,-2.427889,2.427483
63.012000,-2.431973,2.431570
63.115000,-2.436057,2.435657
63.218000,-2.440141,2.439744
63.320000,-2.444225,2.443832
63.423000,-2.448308,2.447919
63.526000,-2.452392,2.452006
63.628000,-2.456476,2.456094
63.731000,-2.460560,2.460181
63.833000,-2.464643,2.464268
63.936000,-2.468727,2.468355
64.039000,-2.472810,2.472442
64.141000,-2.476894,2.476529
64.244000,-2.480977,2.480616
64.347000,-2.485060,2.484703
64.449000,-2.489144,2.488790
64.552000,-2.493227,2.492877
64.654000,-2.497311,2.496964
64.757000,-2.501394,2.501051
64.860000,-2.505478,2.505138
64.962000,-2.509561,2.509225
65.065000,-2.513645,2.513313
65.168000,-2.517728,2.517400
65.270000,-2.521812,2.521487
65.373000,-2.525895,2.525574
65.476000,-2.529978,2.529661
65.578000,-2.534062,2.533748
65.681000,-2.538145,2.537835
65.783000,-2.542229,2.541922
65.886000,-2.546312,2.546009
65.989000,-2.550396,2.550096
66.091000,-2.554479,2.554183
66.194000,-2.558563,2.558270
66.297000,-2.562646,2.562357
66.399000,-2.566729,2.566444
66.502000,-2.570812,2.570531
66.605000,-2.574895,2.574618
66.707000,-2.578978,2.578705
66.810000,-2.583062,2.582792
66.912000,-2.587145,2.586878
67.015000,-2.591228,2.590965
67.118000,-2.595311,2.595052
67.220000,-2.599394,2.599139
67.323000,-2.603477,2.603226
67.426000,-2.607561,2.607313
67.528000,-2.611644,2.611400
67.631000,-2.615727,2.615487
67.733000,-2.619810,2.619573
67.836000,-2.623893,2.623660
67.939000,-2.627976,2.627747
68.041000,-2.632059,2.631834
68.144000,-2.636143,2.635921
68.247000,-2.640226,2.640008
68.349000,-2.644309,2.644095
68.452000,-2.648392,2.648182
68.555000,-2.652475,2.652269
68.657000,-2.656558,2.656355
68.760000,-2.660642,2.660442
68.862000,-2.664724,2.664529
68.965000,-2.668807,2.668616
69.068000,-2.672890,2.672703
69.170000,-2.676973,2.676789
69.273000,-2.681056,2.680876
69.376000,-2.685139,2.684963
69.478000,-2.689222,2.689050
69.581000,-2.693305,2.693136
69.684000,-2.697388,2.697223
69.786000,-2.701471,2.701310
69.889000,-2.705554,2.705397
69.991000,-2.709637,2.709483
70.094000,-2.713720,2.713570
70.197000,-2.717803,2.717657
70.299000,-2.721886,2.721744
70.402000,-2.725969,2.725830
70.505000,-2.730052,2.729917
70.607000,-2.734134,2.734004
70.710000,-2.738217,2.738091
70.812000,-2.742300,2.742177
70.915000,-2.746383,2.746264
71.018000,-2.750466,2.750351
71.120000,-2.754549,2.754438
71.223000,-2.758632,2.758524
71.326000,-2.762715,2.762611
71.428000,-2.770567,2.770470
71.531000,-2.778418,2.778329
71.634000,-2.786270,2.786188
71.736000,-2.794121,2.794047
71.839000,-2.801973,2.801906
71.941000,-2.809825,2.809765
72.044000,-2.817676,2.817624
72.147000,-2.825528,2.825483
72.249000,-2.833379,2.833342
72.352000,-2.841231,2.841201
72.455000,-2.849083,2.849060
72.557000,-2.856934,2.856919
72.660000,-2.864786,2.864778
