rotation_angle_deg,delta_alpha_deg,beta_deg
-50.705000,2.106626,-2.105406
-50.602000,2.102538,-2.101316
-50.500000,2.098451,-2.097227
-50.397000,2.094363,-2.093137
-50.294000,2.090275,-2.089048
-50.192000,2.086188,-2.084958
-50.089000,2.082100,-2.080868
-49.987000,2.078013,-2.076779
-49.884000,2.073925,-2.072689
-49.781000,2.069838,-2.068600
-49.679000,2.065750,-2.064510
-49.576000,2.061663,-2.060421
-49.473000,2.057575,-2.056331
-49.371000,2.053488,-2.052242
-49.268000,2.049400,-2.048152
-49.166000,2.045310,-2.044061
-49.063000,2.041220,-2.039970
-48.960000,2.037130,-2.035879
-48.858000,2.033040,-2.031788
-48.755000,2.028951,-2.027697
-48.652000,2.024861,-2.023606
-48.550000,2.020771,-2.019516
-48.447000,2.016681,-2.015425
-48.344000,2.012591,-2.011334
-48.242000,2.008501,-2.007243
-48.139000,2.004411,-2.003152
-48.037000,2.000321,-1.999061
-47.934000,1.996232,-1.994970
-47.831000,1.992142,-1.990879
-47.729000,1.988052,-1.986788
-47.626000,1.983962,-1.982697
-47.523000,1.979872,-1.978606
-47.421000,1.975782,-1.974515
-47.318000,1.971692,-1.970424
-47.215000,1.967602,-1.966333
-47.113000,1.963512,-1.962242
-47.010000,1.959423,-1.958151
-46.908000,1.955333,-1.954060
-46.805000,1.951243,-1.949969
-46.702000,1.947153,-1.945878
-46.600000,1.943061,-1.941786
-46.497000,1.938969,-1.937694
-46.394000,1.934877,-1.933602
-46.292000,1.930785,-1.929509
-46.189000,1.926693,-1.925417
-46.087000,1.922601,-1.921325
-45.984000,1.918509,-1.917233
-45.881000,1.914417,-1.913140
-45.779000,1.910325,-1.909048
-45.676000,1.906233,-1.904956
-45.573000,1.902141,-1.900864
-45.471000,1.898049,-1.896772
-45.368000,1.893957,-1.892679
-45.265000,1.889864,-1.888587
-45.163000,1.885772,-1.884495
-45.060000,1.881680,-1.880403
-44.958000,1.877588,-1.876310
-44.855000,1.873496,-1.872218
-44.752000,1.869404,-1.868126
-44.650000,1.865312,-1.864034
-44.547000,1.861220,-1.859941
-44.444000,1.857128,-1.855849
-44.342000,1.853036,-1.851757
-44.239000,1.848944,-1.847665
-44.136000,1.844852,-1.843572
-44.034000,1.840758,-1.839479
-43.931000,1.836664,-1.835386
-43.829000,1.832570,-1.831292
-43.726000,1.828476,-1.827199
-43.623000,1.824382,-1.823105
-43.521000,1.820288,-1.819012
-43.418000,1.816194,-1.814919
-43.315000,1.812100,-1.810825
-43.213000,1.808007,-1.806732
-43.110000,1.803913,-1.802638
-43.008000,1.799819,-1.798545
-42.905000,1.795725,-1.794452
-42.802000,1.791631,-1.790358
-42.700000,1.787537,-1.786265
-42.597000,1.783443,-1.782171
-42.494000,1.779349,-1.778078
-42.392000,1.775255,-1.773985
-42.289000,1.771161,-1.769891
-42.186000,1.767067,-1.765798
-42.084000,1.762973,-1.761704
-41.981000,1.758879,-1.757611
-41.879000,1.754785,-1.753518
-41.776000,1.750691,-1.749424
-41.673000,1.746597,-1.745331
-41.571000,1.742503,-1.741237
-41.468000,1.738407,-1.737143
-41.365000,1.734312,-1.733049
-41.263000,1.730216,-1.728954
-41.160000,1.726120,-1.724860
-41.057000,1.722025,-1.720765
-40.955000,1.717929,-1.716671
-40.852000,1.713833,-1.712576
-40.750000,1.709737,-1.708482
-40.647000,1.705642,-1.704387
-40.544000,1.701546,-1.700293
-40.442000,1.697450,-1.696198
-40.339000,1.693355,-1.692104
-40.236000,1.689259,-1.688010
-40.134000,1.685163,-1.683915
-40.031000,1.681068,-1.679821
-39.929000,1.676972,-1.675726
-39.826000,1.672876,-1.671632
-39.723000,1.668780,-1.667537
-39.621000,1.664685,-1.663443
-39.518000,1.660589,-1.659348
-39.415000,1.656493,-1.655254
-39.313000,1.652398,-1.651160
-39.210000,1.648302,-1.647065
-39.107000,1.644206,-1.642971
-39.005000,1.640110,-1.638876
-38.902000,1.636013,-1.634781
-38.800000,1.631916,-1.630685
-38.697000,1.627819,-1.626590
-38.594000,1.623721,-1.622495
-38.492000,1.619624,-1.618399
-38.389000,1.615527,-1.614304
-38.286000,1.611430,-1.610209
-38.184000,1.607332,-1.606113
-38.081000,1.603235,-1.602018
-37.979000,1.599138,-1.597922
-37.876000,1.595041,-1.593827
-37.773000,1.590943,-1.589732
-37.671000,1.586846,-1.585636
-37.568000,1.582749,-1.581541
-37.465000,1.578652,-1.577445
-37.363000,1.574554,-1.573350
-37.260000,1.570457,-1.569255
-37.157000,1.566360,-1.565159
-37.055000,1.562263,-1.561064
-36.952000,1.558165,-1.556969
-36.850000,1.554068,-1.552873
-36.747000,1.549971,-1.548778
-36.644000,1.545873,-1.544682
-36.542000,1.541776,-1.540587
-36.439000,1.537679,-1.536492
-36.336000,1.533580,-1.532395
-36.234000,1.529482,-1.528299
-36.131000,1.525383,-1.524203
-36.028000,1.521284,-1.520107
-35.926000,1.517186,-1.516011
-35.823000,1.513087,-1.511914
-35.721000,1.508988,-1.507818
-35.618000,1.504890,-1.503722
-35.515000,1.500791,-1.499626
-35.413000,1.496693,-1.495530
-35.310000,1.492594,-1.491433
-35.207000,1.488495,-1.487337
-35.105000,1.484397,-1.483241
-35.002000,1.480298,-1.479145
-34.900000,1.476199,-1.475048
-34.797000,1.472101,-1.470952
-34.694000,1.468002,-1.466856
-34.592000,1.463904,-1.462760
-34.489000,1.459805,-1.458664
-34.386000,1.455706,-1.454567
-34.284000,1.451608,-1.450471
-34.181000,1.447509,-1.446375
-34.078000,1.443410,-1.442279
-33.976000,1.439312,-1.438183
-33.873000,1.435213,-1.434086
-33.771000,1.431113,-1.429989
-33.668000,1.427013,-1.425893
-33.565000,1.422914,-1.421796
-33.463000,1.418814,-1.417699
-33.360000,1.414714,-1.413602
-33.257000,1.410614,-1.409505
-33.155000,1.406514,-1.405408
-33.052000,1.402414,-1.401311
-32.949000,1.398315,-1.397214
-32.847000,1.394215,-1.393117
-32.744000,1.390115,-1.389020
-32.642000,1.386015,-1.384923
-32.539000,1.381915,-1.380826
-32.436000,1.377815,-1.376729
-32.334000,1.373716,-1.372632
-32.231000,1.369616,-1.368535
-32.128000,1.365516,-1.364439
-32.026000,1.361416,-1.360342
-31.923000,1.357316,-1.356245
-31.821000,1.353216,-1.352148
-31.718000,1.349117,-1.348051
-31.615000,1.345017,-1.343954
-31.513000,1.340917,-1.339857
-31.410000,1.336817,-1.335760
-31.307000,1.332717,-1.331663
-31.205000,1.328616,-1.327566
-31.102000,1.324515,-1.323468
-30.999000,1.320415,-1.319370
-30.897000,1.316314,-1.315273
-30.794000,1.312213,-1.311175
-30.692000,1.308112,-1.307078
-30.589000,1.304011,-1.302980
-30.486000,1.299910,-1.298883
-30.384000,1.295809,-1.294785
-30.281000,1.291708,-1.290688
-30.178000,1.287608,-1.286590
-30.076000,1.283507,-1.282492
-29.973000,1.279406,-1.278395
-29.870000,1.275305,-1.274297
-29.768000,1.271204,-1.270200
-29.665000,1.267103,-1.266102
-29.563000,1.263002,-1.262005
-29.460000,1.258902,-1.257907
-29.357000,1.254801,-1.253810
-29.255000,1.250700,-1.249712
-29.152000,1.246599,-1.245614
-29.049000,1.242498,-1.241517
-28.947000,1.238397,-1.237419
-28.844000,1.234296,-1.233322
-28.742000,1.230195,-1.229224
-28.639000,1.226094,-1.225126
-28.536000,1.221992,-1.221028
-28.434000,1.217890,-1.216930
-28.331000,1.213788,-1.212832
-28.228000,1.209687,-1.208734
-28.126000,1.205585,-1.204636
-28.023000,1.201483,-1.200538
-27.920000,1.197382,-1.196440
-27.818000,1.193280,-1.192342
-27.715000,1.189178,-1.188243
-27.613000,1.185076,-1.184145
-27.510000,1.180975,-1.180047
-27.407000,1.176873,-1.175949
-27.305000,1.172771,-1.171851
-27.202000,1.168669,-1.167753
-27.099000,1.164568,-1.163655
-26.997000,1.160466,-1.159557
-26.894000,1.156364,-1.155459
-26.792000,1.152262,-1.151361
-26.689000,1.148161,-1.147263
-26.586000,1.144059,-1.143165
-26.484000,1.139957,-1.139067
-26.381000,1.135855,-1.134968
-26.278000,1.131754,-1.130870
-26.176000,1.127652,-1.126772
-26.073000,1.123549,-1.122674
-25.970000,1.119447,-1.118575
-25.868000,1.115345,-1.114477
-25.765000,1.111242,-1.110378
-25.663000,1.107140,-1.106280
-25.560000,1.103037,-1.102181
-25.457000,1.098935,-1.098083
-25.355000,1.094832,-1.093984
-25.252000,1.090730,-1.089886
-25.149000,1.086627,-1.085787
-25.047000,1.082525,-1.081689
-24.944000,1.078422,-1.077590
-24.841000,1.074320,-1.073492
-24.739000,1.070217,-1.069393
-24.636000,1.066115,-1.065295
-24.534000,1.062013,-1.061196
-24.431000,1.057910,-1.057098
-24.328000,1.053808,-1.052999
-24.226000,1.049705,-1.048901
-24.123000,1.045603,-1.044802
-24.020000,1.041500,-1.040704
-23.918000,1.037398,-1.036605
-23.815000,1.033295,-1.032507
-23.713000,1.029193,-1.028408
-23.610000,1.025090,-1.024310
-23.507000,1.020987,-1.020211
-23.405000,1.016884,-1.016112
-23.302000,1.012781,-1.012013
-23.199000,1.008678,-1.007914
-23.097000,1.004575,-1.003815
-22.994000,1.000472,-0.999716
-22.891000,0.996369,-0.995618
-22.789000,0.992266,-0.991519
-22.686000,0.988163,-0.987420
-22.584000,0.984060,-0.983321
-22.481000,0.979957,-0.979222
-22.378000,0.975854,-0.975123
-22.276000,0.971751,-0.971024
-22.173000,0.967648,-0.966926
-22.070000,0.963545,-0.962827
-21.968000,0.959442,-0.958728
-21.865000,0.955339,-0.954629
-21.762000,0.951236,-0.950530
-21.660000,0.947133,-0.946431
-21.557000,0.943030,-0.942332
