zone_id,alpha_nom_deg,beta_nom_deg,delta_alpha_deg,delta_beta_deg,n_reflections,info
45,-65.279,0.0,65.37977054256832,65.42928444779255,132,"{'status': 'ok', 'success': True, 'cost': 0.10005747415494182, 'nfev': 7}"
46,-65.176,0.0,65.27786915320371,65.0608612018988,132,"{'status': 'ok', 'success': True, 'cost': 0.10427409511179452, 'nfev': 8}"
47,-65.074,0.0,65.16153801607943,64.98208066043415,132,"{'status': 'ok', 'success': True, 'cost': 0.10744503536106745, 'nfev': 7}"
48,-64.971,0.0,65.00800831604766,64.89997128573249,131,"{'status': 'ok', 'success': True, 'cost': 0.10867518374201032, 'nfev': 7}"
49,-64.868,0.0,64.77984928776849,64.84570142676458,127,"{'status': 'ok', 'success': True, 'cost': 0.10343979220124525, 'nfev': 7}"
50,-64.766,0.0,64.72580724470205,64.74766185907637,127,"{'status': 'ok', 'success': True, 'cost': 0.09826582211949081, 'nfev': 7}"
51,-64.663,0.0,64.65423241057967,64.73546344500059,128,"{'status': 'ok', 'success': True, 'cost': 0.09846113690984874, 'nfev': 7}"
52,-64.56,0.0,64.80111698280571,64.62590919668189,125,"{'status': 'ok', 'success': True, 'cost': 0.09300505499901182, 'nfev': 7}"
53,-64.458,0.0,64.73687687344102,64.41295422830837,128,"{'status': 'ok', 'success': True, 'cost': 0.09490070789332478, 'nfev': 7}"
54,-64.355,0.0,64.63160301628893,64.42603430419649,129,"{'status': 'ok', 'success': True, 'cost': 0.09541092167973791, 'nfev': 7}"
55,-64.253,0.0,64.47499334583422,64.43083682657083,134,"{'status': 'ok', 'success': True, 'cost': 0.09896460894010449, 'nfev': 7}"
56,-64.15,0.0,64.30270734998464,64.30677882136912,132,"{'status': 'ok', 'success': True, 'cost': 0.09645104364114368, 'nfev': 7}"
57,-64.047,0.0,64.18808656759482,64.0816071952507,138,"{'status': 'ok', 'success': True, 'cost': 0.10506778031454203, 'nfev': 7}"
